Threshold,Mob_Result,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10,Success,44,42,0,12,44
10,Success,50,27,0,17,50
10,Success,48,38,0,13,48
10,Success,42,38,2,18,42
10,Success,52,32,0,12,52
10,Success,48,36,7,9,48
10,Success,52,31,2,15,52
10,Success,51,35,0,14,51
10,Success,41,41,5,13,41
10,Success,40,42,9,9,40
10,Success,51,37,3,9,51
10,Success,52,30,0,16,52
10,Success,59,28,0,8,59
10,Success,47,40,0,13,47
10,Success,49,32,1,18,49
10,Success,54,37,1,8,54
10,Success,46,36,0,18,46
10,Success,48,33,0,10,48
10,Success,49,39,0,9,49
10,Success,50,39,0,9,50
10,Success,50,36,0,14,50
10,Success,46,36,7,11,46
10,Success,45,37,0,14,45
10,Success,50,35,0,15,50
10,Success,46,38,0,15,46
10,Success,41,35,8,16,41
10,Success,43,42,0,13,43
10,Success,57,28,0,10,57
10,Success,51,33,5,11,51
10,Success,41,43,4,12,41
10,Success,46,30,10,14,46
10,Success,39,42,6,13,39
10,Success,51,33,3,13,51
10,Success,52,38,1,9,52
10,Success,38,45,5,12,38
10,Success,40,43,0,16,40
10,Success,52,31,6,11,52
10,Success,53,30,8,9,53
10,Success,51,35,0,13,51
10,Success,55,31,1,13,55
10,Success,58,30,0,8,58
10,Success,52,35,0,10,52
10,Success,48,34,2,16,48
10,Success,52,32,0,14,52
10,Success,44,32,0,20,44
10,Success,55,34,0,7,55
10,Success,48,35,0,10,48
10,Success,48,33,7,12,48
10,Success,49,35,0,11,49
10,Success,53,29,0,7,53
10,Success,47,29,0,15,47
10,Success,41,41,0,13,41
10,Success,48,37,2,13,48
10,Success,43,37,0,18,43
10,Success,55,28,0,12,55
10,Success,44,36,10,10,44
10,Success,54,24,9,13,54
10,Success,49,37,0,14,49
10,Success,46,42,1,11,46
10,Success,50,34,2,14,50
10,Success,46,30,6,18,46
10,Success,44,30,0,17,44
10,Success,51,32,4,13,51
10,Success,48,40,3,9,48
10,Success,54,31,0,14,54
10,Success,45,40,8,7,45
10,Success,46,35,0,14,46
10,Success,58,33,2,7,58
10,Success,54,31,0,6,54
10,Success,49,34,0,17,49
10,Success,48,42,0,10,48
10,Success,47,35,0,13,47
10,Success,51,37,0,12,51
10,Success,52,37,0,11,52
10,Success,52,33,3,12,52
10,Success,47,38,0,14,47
10,Success,37,40,5,18,37
10,Success,47,42,0,11,47
10,Success,46,38,6,10,46
10,Success,46,38,1,15,46
10,Success,40,39,0,15,40
10,Success,53,36,0,11,53
10,Success,48,36,0,10,48
10,Success,53,36,4,7,53
10,Success,52,34,1,13,52
10,Success,47,41,1,11,47
10,Success,49,41,1,9,49
10,Success,45,37,0,12,45
10,Success,40,37,8,15,40
10,Success,56,22,9,13,56
10,Success,47,38,8,7,47
10,Success,46,40,2,12,46
10,Success,54,37,0,9,54
10,Success,48,32,2,18,48
10,Success,46,44,1,9,46
10,Success,53,35,0,12,53
10,Success,48,30,0,17,48
10,Success,48,34,0,8,48
10,Success,45,36,0,12,45
10,Success,53,38,1,8,53
10,Success,39,41,1,19,39
10,Success,49,30,0,15,49
10,Success,49,42,0,7,49
10,Success,51,33,0,15,51
10,Success,56,29,4,11,56
10,Success,51,33,7,9,51
10,Success,52,39,2,7,52
10,Success,46,40,1,13,46
10,Success,50,27,6,17,50
10,Success,43,32,0,25,43
10,Success,42,40,0,12,42
10,Success,43,40,0,15,43
10,Success,50,37,3,10,50
10,Success,49,37,0,12,49
10,Success,44,26,0,10,44
10,Success,49,32,0,11,49
10,Success,51,34,7,8,51
10,Success,50,34,2,14,50
10,Success,55,35,3,7,55
10,Success,49,39,2,10,49
10,Success,54,32,0,13,54
10,Success,51,36,3,10,51
10,Success,45,31,0,18,45
10,Success,48,40,0,10,48
10,Success,54,34,0,12,54
10,Success,47,36,0,10,47
10,Success,54,35,0,11,54
10,Success,49,38,4,9,49
10,Success,53,33,0,13,53
10,Success,54,35,3,8,54
10,Success,45,33,0,16,45
10,Success,52,35,0,7,52
10,Success,49,36,5,10,49
10,Success,42,36,5,17,42
10,Success,50,36,0,9,50
10,Success,43,38,1,18,43
10,Success,47,41,0,10,47
10,Success,53,35,0,12,53
10,Success,49,35,0,15,49
10,Success,43,43,2,12,43
10,Success,49,38,0,11,49
10,Success,45,34,0,12,45
10,Success,51,40,3,6,51
10,Success,40,37,0,16,40
10,Success,41,42,1,16,41
10,Success,45,39,0,15,45
10,Success,44,33,13,10,44
10,Success,44,41,0,15,44
10,Success,55,37,3,5,55
10,Success,57,29,0,10,57
10,Success,44,39,3,14,44
10,Success,39,42,3,16,39
10,Success,51,33,0,13,51
10,Success,51,40,1,8,51
10,Success,55,35,1,9,55
10,Success,42,37,0,14,42
10,Success,55,30,1,14,55
10,Success,41,33,0,16,41
10,Success,54,33,1,12,54
10,Success,47,37,0,13,47
10,Success,48,36,0,12,48
10,Success,55,38,0,5,55
10,Success,41,45,0,9,41
10,Success,42,42,8,8,42
10,Success,51,32,5,12,51
10,Success,41,41,0,18,41
10,Success,51,34,0,12,51
10,Success,48,31,0,19,48
10,Success,47,37,7,9,47
10,Success,45,36,0,13,45
10,Success,52,39,2,7,52
10,Success,46,35,2,17,46
10,Success,45,39,0,11,45
10,Success,49,33,7,11,49
10,Success,41,36,0,15,41
10,Success,46,40,0,14,46
10,Success,58,31,0,10,58
10,Success,52,34,1,13,52
10,Success,57,27,1,15,57
10,Success,51,29,0,12,51
10,Success,48,34,4,14,48
10,Success,44,38,0,15,44
10,Success,48,31,0,12,48
10,Success,49,39,1,11,49
10,Success,44,40,3,13,44
10,Success,43,44,0,13,43
10,Success,43,45,2,10,43
10,Success,49,39,0,9,49
10,Success,53,27,9,11,53
10,Success,49,28,3,20,49
10,Success,55,31,4,10,55
10,Success,49,31,4,16,49
10,Success,53,34,1,12,53
10,Success,50,33,0,17,50
10,Success,50,35,3,12,50
10,Success,43,35,6,16,43
10,Success,46,36,1,17,46
10,Success,45,45,1,9,45
10,Success,52,39,0,7,52
10,Success,51,29,8,12,51
10,Success,49,41,2,8,49
10,Success,55,33,0,11,55
10,Success,47,35,6,12,47
10,Success,53,27,0,17,53
10,Success,52,32,0,11,52
10,Success,45,31,10,14,45
10,Success,51,31,0,14,51
10,Success,46,40,2,12,46
10,Success,55,30,0,11,55
10,Success,47,39,2,12,47
10,Success,42,40,0,15,42
10,Success,58,34,1,7,58
10,Success,50,31,13,6,50
10,Success,54,37,2,7,54
10,Success,43,40,7,10,43
10,Success,48,33,0,16,48
10,Success,45,28,16,11,45
10,Success,53,34,0,12,53
10,Success,48,31,8,13,48
10,Success,37,39,6,18,37
10,Success,55,34,1,10,55
10,Success,46,35,0,11,46
10,Success,42,39,0,16,42
10,Success,49,35,3,13,49
10,Success,47,46,3,4,47
10,Success,48,40,2,10,48
10,Success,51,32,0,12,51
10,Success,41,37,10,12,41
10,Success,53,33,3,11,53
10,Success,51,33,4,12,51
10,Success,50,36,0,11,50
10,Success,49,36,0,11,49
10,Success,52,32,2,14,52
10,Success,50,37,0,12,50
10,Success,48,37,2,13,48
10,Success,50,39,2,9,50
10,Success,54,38,1,7,54
10,Success,45,42,0,10,45
10,Success,53,33,3,11,53
10,Success,50,25,6,19,50
10,Success,48,36,2,14,48
10,Success,38,46,0,10,38
10,Success,49,36,0,12,49
10,Success,50,35,4,11,50
10,Success,45,30,8,17,45
10,Success,56,24,9,11,56
10,Success,43,36,0,12,43
10,Success,41,33,10,16,41
10,Success,48,36,2,14,48
10,Success,45,37,5,13,45
10,Success,49,30,1,20,49
10,Success,45,37,0,13,45
10,Success,45,40,0,15,45
10,Success,48,34,0,14,48
10,Success,52,29,0,13,52
10,Success,44,43,1,12,44
10,Success,40,31,13,16,40
10,Success,49,36,1,14,49
10,Success,39,39,0,14,39
10,Success,56,32,0,11,56
10,Success,43,31,0,20,43
10,Success,42,32,17,9,42
10,Success,42,35,0,17,42
10,Success,50,34,0,11,50
10,Success,48,34,5,13,48
10,Success,42,40,0,16,42
10,Success,39,47,0,6,39
10,Success,51,40,2,7,51
10,Success,45,44,0,9,45
10,Success,53,30,0,15,53
10,Success,45,30,6,19,45
10,Success,43,37,11,9,43
10,Success,44,41,0,12,44
10,Success,51,32,0,12,51
10,Success,46,40,0,9,46
10,Success,54,39,0,6,54
10,Success,46,39,0,14,46
10,Success,58,33,1,8,58
10,Success,47,37,0,16,47
10,Success,48,32,5,15,48
10,Success,52,32,0,11,52
10,Success,46,35,5,14,46
10,Success,53,38,2,7,53
10,Success,40,33,6,21,40
10,Success,48,37,1,14,48
10,Success,47,36,0,17,47
10,Success,54,33,0,6,54
10,Success,52,28,3,17,52
10,Success,48,34,4,14,48
10,Success,48,35,0,15,48
10,Success,40,37,0,16,40
10,Success,52,39,0,9,52
10,Success,45,35,14,6,45
10,Success,50,38,0,9,50
10,Success,47,35,0,14,47
10,Success,49,24,0,16,49
10,Success,48,38,2,12,48
10,Success,46,36,0,14,46
10,Success,44,36,3,17,44
10,Success,56,30,4,10,56
10,Success,46,43,0,10,46
10,Success,49,28,5,18,49
10,Success,55,27,1,17,55
10,Success,47,29,8,16,47
10,Success,48,27,0,19,48
10,Success,50,37,0,11,50
10,Success,53,33,0,12,53
10,Success,43,37,0,19,43
10,Success,44,38,0,8,44
10,Success,42,44,0,14,42
10,Success,55,33,0,10,55
10,Success,50,41,2,7,50
10,Success,46,35,5,14,46
10,Success,36,33,13,18,36
10,Success,52,33,0,13,52
10,Success,54,33,1,12,54
10,Success,49,40,0,11,49
10,Success,37,41,7,15,37
10,Success,43,36,0,11,43
10,Success,56,29,0,14,56
10,Success,54,27,10,9,54
10,Success,40,38,5,17,40
10,Success,46,36,0,16,46
10,Success,50,30,7,13,50
10,Success,53,24,2,21,53
10,Success,42,40,0,17,42
10,Success,54,33,0,5,54
10,Success,40,49,1,10,40
10,Success,49,39,0,9,49
10,Success,46,33,9,12,46
10,Success,44,40,0,14,44
10,Success,47,31,3,19,47
10,Success,56,31,1,12,56
10,Success,46,36,0,14,46
10,Success,45,34,0,16,45
10,Success,51,31,5,13,51
10,Success,45,32,0,21,45
10,Success,53,33,0,11,53
10,Success,44,44,0,12,44
10,Success,45,38,2,15,45
10,Success,47,36,7,10,47
10,Success,50,30,0,13,50
10,Success,53,33,2,12,53
10,Success,55,30,0,12,55
10,Success,49,35,3,13,49
10,Success,33,43,0,13,33
10,Success,46,37,2,15,46
10,Success,40,34,0,14,40
10,Success,45,43,0,8,45
10,Success,45,44,2,9,45
10,Success,47,34,0,11,47
10,Success,49,36,0,15,49
10,Success,44,41,0,15,44
10,Success,49,35,0,10,49
10,Success,61,32,0,7,61
10,Success,52,34,4,10,52
10,Success,49,36,0,7,49
10,Success,45,37,4,14,45
10,Success,54,27,0,14,54
10,Success,45,34,0,18,45
10,Success,43,44,0,10,43
10,Success,46,38,4,12,46
10,Success,42,46,2,10,42
10,Success,48,35,5,12,48
10,Success,48,33,0,13,48
10,Success,49,37,0,11,49
10,Success,55,30,2,13,55
10,Success,39,42,0,16,39
10,Success,47,42,0,8,47
10,Success,45,34,0,14,45
10,Success,46,38,0,11,46
10,Success,50,36,3,11,50
10,Success,51,36,0,9,51
10,Success,46,33,6,15,46
10,Success,47,39,8,6,47
10,Success,49,35,7,9,49
10,Success,53,29,6,12,53
10,Success,40,34,0,14,40
10,Success,47,36,0,14,47
10,Success,50,34,0,11,50
10,Success,55,29,3,13,55
10,Success,59,28,0,8,59
10,Success,52,34,0,10,52
10,Success,55,27,0,14,55
10,Success,51,36,3,10,51
10,Success,54,33,0,13,54
10,Success,44,35,0,10,44
10,Success,44,37,9,10,44
10,Success,55,37,0,8,55
10,Success,51,36,0,12,51
10,Success,44,42,4,10,44
10,Success,44,37,7,12,44
10,Success,49,40,0,11,49
10,Success,51,34,0,11,51
10,Success,45,39,2,14,45
10,Success,45,37,0,9,45
10,Success,51,30,4,15,51
10,Success,38,39,8,15,38
10,Success,46,35,0,16,46
10,Success,48,42,1,9,48
10,Success,49,29,7,15,49
10,Success,44,34,0,14,44
10,Success,51,37,3,9,51
10,Success,42,38,5,15,42
10,Success,49,35,4,12,49
10,Success,51,37,2,10,51
10,Success,52,27,10,11,52
10,Success,48,39,0,12,48
10,Success,44,34,12,10,44
10,Success,39,43,0,17,39
10,Success,51,37,0,10,51
10,Success,41,37,0,18,41
10,Success,45,40,4,11,45
10,Success,44,41,3,12,44
10,Success,52,30,0,17,52
10,Success,51,28,6,15,51
10,Success,55,26,3,16,55
10,Success,46,37,3,14,46
10,Success,49,34,1,16,49
10,Success,50,35,0,12,50
10,Success,49,35,4,12,49
10,Success,59,28,0,13,59
10,Success,40,36,0,16,40
10,Success,37,40,0,16,37
10,Success,48,31,5,16,48
10,Success,39,43,0,16,39
10,Success,43,46,0,7,43
10,Success,59,28,2,11,59
10,Success,50,35,0,12,50
10,Success,45,46,0,9,45
10,Success,37,44,1,18,37
10,Success,47,40,1,12,47
10,Success,48,41,0,11,48
10,Success,48,34,0,11,48
10,Success,47,31,0,16,47
10,Success,45,35,0,14,45
10,Success,54,37,2,7,54
10,Success,50,40,0,9,50
10,Success,46,38,0,14,46
10,Success,43,37,8,12,43
10,Success,44,37,0,18,44
10,Success,43,41,0,15,43
10,Success,51,37,0,6,51
10,Success,40,43,5,12,40
10,Success,46,37,0,9,46
10,Success,48,31,4,17,48
10,Success,50,33,0,13,50
10,Success,40,41,0,19,40
10,Success,51,34,0,9,51
10,Success,40,45,0,12,40
10,Success,55,32,0,11,55
10,Success,49,29,7,15,49
10,Success,56,31,0,10,56
10,Success,49,36,4,11,49
10,Success,50,40,0,10,50
10,Success,44,33,0,15,44
10,Success,51,32,0,15,51
10,Success,49,34,0,13,49
10,Success,55,36,4,5,55
10,Success,45,45,1,9,45
10,Success,50,33,0,13,50
10,Success,53,36,0,11,53
10,Success,56,33,1,10,56
10,Success,41,43,0,13,41
10,Success,53,25,0,12,53
10,Success,43,39,3,15,43
10,Success,49,32,0,17,49
10,Success,44,39,0,12,44
10,Success,52,40,3,5,52
10,Success,51,35,0,12,51
10,Success,37,42,0,18,37
10,Success,47,41,1,11,47
10,Success,40,34,0,19,40
10,Success,52,28,13,7,52
10,Success,46,35,5,14,46
10,Success,47,35,0,15,47
10,Success,49,34,2,15,49
10,Success,56,31,0,10,56
10,Success,50,33,4,13,50
10,Success,53,29,4,14,53
10,Success,53,34,0,9,53
10,Success,56,33,2,9,56
10,Success,48,41,0,11,48
10,Success,50,40,0,7,50
10,Success,55,26,0,11,55
10,Success,45,39,5,11,45
10,Success,47,38,1,14,47
10,Success,51,33,1,15,51
10,Success,48,38,4,10,48
10,Success,50,34,0,14,50
10,Success,49,30,8,13,49
10,Success,49,32,1,18,49
10,Success,55,33,0,12,55
10,Success,55,34,0,10,55
10,Success,53,31,0,14,53
10,Success,36,41,11,12,36
10,Success,57,35,3,5,57
10,Success,41,39,5,15,41
10,Success,47,30,5,18,47
10,Success,50,33,0,12,50
10,Success,50,34,3,13,50
10,Success,50,42,1,7,50
10,Success,47,38,0,12,47
10,Success,43,35,0,13,43
10,Success,51,32,2,15,51
10,Success,49,36,4,11,49
10,Success,48,37,6,9,48
10,Success,48,32,0,10,48
10,Success,52,32,3,13,52
10,Success,57,34,0,6,57
10,Success,53,37,4,6,53
10,Success,50,35,6,9,50
10,Success,48,43,5,4,48
10,Success,50,32,0,14,50
10,Success,54,23,4,19,54
10,Success,42,41,2,15,42
10,Success,52,39,1,8,52
10,Success,52,31,5,12,52
10,Success,49,38,0,13,49
10,Success,51,34,8,7,51
10,Success,46,38,0,11,46
10,Success,54,35,5,6,54
10,Success,45,37,8,10,45
10,Success,52,28,4,16,52
10,Success,41,39,6,14,41
10,Success,47,39,5,9,47
10,Success,54,37,1,8,54
10,Success,52,33,5,10,52
10,Success,48,33,5,14,48
10,Success,39,42,0,15,39
10,Success,55,40,0,5,55
10,Success,42,42,8,8,42
10,Success,44,36,0,18,44
10,Success,42,39,3,16,42
10,Success,45,37,0,18,45
10,Success,43,32,5,20,43
10,Success,56,28,3,13,56
10,Success,44,39,3,14,44
10,Success,49,40,3,8,49
10,Success,46,38,0,15,46
10,Success,50,35,0,15,50
10,Success,48,37,1,14,48
10,Success,46,39,0,15,46
10,Success,50,32,5,13,50
10,Success,48,37,4,11,48
10,Success,44,44,1,11,44
10,Success,55,32,3,10,55
10,Success,45,41,8,6,45
10,Success,46,42,1,11,46
10,Success,42,34,0,19,42
10,Success,42,36,0,15,42
10,Success,46,40,2,12,46
10,Success,41,41,1,17,41
10,Success,42,37,0,15,42
10,Success,43,44,3,10,43
10,Success,50,39,0,11,50
10,Success,53,29,0,14,53
10,Success,55,34,4,7,55
10,Success,45,34,0,20,45
10,Success,48,31,8,13,48
10,Success,46,42,0,11,46
10,Success,49,35,5,11,49
10,Success,43,37,5,15,43
10,Success,40,40,0,18,40
10,Success,41,35,12,12,41
10,Success,44,42,0,9,44
10,Success,39,47,0,11,39
10,Success,44,41,0,14,44
10,Success,48,31,0,14,48
10,Success,47,37,0,10,47
10,Success,57,36,0,7,57
10,Success,53,35,0,12,53
10,Success,51,43,1,5,51
10,Success,52,38,0,10,52
10,Success,48,36,3,13,48
10,Success,51,37,1,11,51
10,Success,41,41,0,10,41
10,Success,47,38,0,10,47
10,Success,50,34,6,10,50
10,Success,48,31,3,18,48
10,Success,50,38,0,12,50
10,Success,52,36,0,10,52
10,Success,47,42,0,7,47
10,Success,55,28,0,15,55
10,Success,50,37,0,11,50
10,Success,51,36,0,13,51
10,Success,43,33,12,12,43
10,Success,42,38,0,10,42
10,Success,43,38,0,11,43
10,Success,46,41,0,11,46
10,Success,44,42,4,10,44
10,Success,57,27,2,14,57
10,Success,56,36,0,7,56
10,Success,54,30,1,15,54
10,Success,55,32,0,10,55
10,Success,49,35,0,13,49
10,Success,41,37,10,12,41
10,Success,54,40,0,5,54
10,Success,53,31,0,13,53
10,Success,52,28,3,17,52
10,Success,52,33,0,13,52
10,Success,46,33,3,18,46
10,Success,51,39,0,10,51
10,Success,41,44,4,11,41
10,Success,42,38,8,12,42
10,Success,53,30,4,13,53
10,Success,54,35,0,11,54
10,Success,56,36,2,6,56
10,Success,44,39,0,13,44
10,Success,45,41,1,13,45
10,Success,57,30,0,5,57
10,Success,54,33,0,10,54
10,Success,47,37,0,16,47
10,Success,55,28,0,16,55
10,Success,56,27,0,11,56
10,Success,44,40,6,10,44
10,Success,46,37,2,15,46
10,Success,48,44,0,6,48
10,Success,51,36,0,11,51
10,Success,52,37,1,10,52
10,Success,47,35,7,11,47
10,Success,49,33,6,12,49
10,Success,48,42,1,9,48
10,Success,50,37,0,11,50
10,Success,48,37,0,11,48
10,Success,50,35,1,14,50
10,Success,56,26,0,16,56
10,Success,45,37,0,13,45
10,Success,43,35,12,10,43
10,Success,47,32,0,17,47
10,Success,44,36,0,15,44
10,Success,54,30,8,8,54
10,Success,46,39,3,12,46
10,Success,49,40,2,9,49
10,Success,41,44,0,14,41
10,Success,48,31,4,17,48
10,Success,47,31,0,18,47
10,Success,52,39,0,9,52
10,Success,48,39,0,12,48
10,Success,46,36,8,10,46
10,Success,58,31,1,10,58
10,Success,51,38,1,10,51
10,Success,45,39,2,14,45
10,Success,50,33,7,10,50
10,Success,54,30,0,13,54
10,Success,47,35,3,15,47
10,Success,45,39,0,10,45
10,Success,49,35,4,12,49
10,Success,46,39,1,14,46
10,Success,55,38,0,7,55
10,Success,48,35,0,17,48
10,Success,49,33,0,14,49
10,Success,53,33,7,7,53
10,Success,55,32,0,13,55
10,Success,48,34,2,16,48
10,Success,43,44,1,12,43
10,Success,55,29,0,13,55
10,Success,47,32,0,17,47
10,Success,53,32,0,11,53
10,Success,44,35,2,19,44
10,Success,42,38,0,12,42
10,Success,46,34,0,18,46
10,Success,52,31,0,15,52
10,Success,45,40,0,11,45
10,Success,52,36,0,6,52
10,Success,43,26,0,16,43
10,Success,54,35,4,7,54
10,Success,57,28,0,14,57
10,Success,50,35,0,12,50
10,Success,43,39,0,14,43
10,Success,53,29,1,17,53
10,Success,46,38,2,14,46
10,Success,53,39,0,8,53
10,Success,52,37,0,10,52
10,Success,50,39,3,8,50
10,Success,41,34,10,15,41
10,Success,43,36,3,18,43
10,Success,40,37,9,14,40
10,Success,51,31,6,12,51
10,Success,43,30,0,15,43
10,Success,46,32,0,15,46
10,Success,61,27,0,8,61
10,Success,43,34,3,20,43
10,Success,54,34,2,10,54
10,Success,54,34,0,8,54
10,Success,54,32,0,13,54
10,Success,44,30,0,15,44
10,Success,45,37,8,10,45
10,Success,39,43,5,13,39
10,Success,53,36,2,9,53
10,Success,45,41,0,14,45
10,Success,45,39,0,16,45
10,Success,54,33,0,12,54
10,Success,42,41,0,14,42
10,Success,51,35,0,10,51
10,Success,53,35,0,10,53
10,Success,53,33,0,10,53
10,Success,46,35,0,16,46
10,Success,51,37,0,12,51
10,Success,40,35,9,16,40
10,Success,47,42,0,10,47
10,Success,50,36,0,5,50
10,Success,37,40,0,19,37
10,Success,55,28,1,16,55
10,Success,48,43,2,7,48
10,Success,49,34,0,13,49
10,Success,53,31,0,13,53
10,Success,51,35,0,12,51
10,Success,53,33,0,11,53
10,Success,49,34,7,10,49
10,Success,55,34,0,9,55
10,Success,50,39,0,10,50
10,Success,46,28,0,20,46
10,Success,43,34,0,17,43
10,Success,45,38,0,15,45
10,Success,52,35,2,11,52
10,Success,54,35,3,8,54
10,Success,56,27,7,10,56
10,Success,45,42,5,8,45
10,Success,48,37,0,14,48
10,Success,45,36,0,9,45
10,Success,51,32,0,8,51
10,Success,46,35,0,15,46
10,Success,38,43,0,16,38
10,Success,40,43,2,15,40
10,Success,45,35,0,12,45
10,Success,46,33,3,18,46
10,Success,44,39,5,12,44
10,Success,50,34,0,7,50
10,Success,44,40,0,15,44
10,Success,54,35,0,7,54
10,Success,54,34,0,12,54
10,Success,47,35,0,17,47
10,Success,50,40,0,7,50
10,Success,44,43,3,10,44
10,Success,47,38,0,12,47
10,Success,49,36,0,13,49
10,Success,50,32,0,14,50
10,Success,50,36,0,10,50
10,Success,48,37,1,14,48
10,Success,44,35,0,13,44
10,Success,50,42,0,6,50
10,Success,48,42,1,9,48
10,Success,46,37,0,17,46
10,Success,56,32,0,10,56
10,Success,47,37,0,14,47
10,Success,35,47,5,13,35
10,Success,49,27,0,15,49
10,Success,47,38,3,12,47
10,Success,49,34,2,15,49
10,Success,51,29,0,14,51
10,Success,55,28,4,13,55
10,Success,43,41,4,12,43
10,Success,52,34,5,9,52
10,Success,44,38,0,12,44
10,Success,41,43,5,11,41
10,Success,45,29,6,20,45
10,Success,49,40,2,9,49
10,Success,42,35,9,14,42
10,Success,41,43,0,14,41
10,Success,53,28,10,9,53
10,Success,48,41,0,8,48
10,Success,48,34,3,15,48
10,Success,50,39,1,10,50
10,Success,43,43,0,8,43
10,Success,47,36,0,12,47
10,Success,52,31,0,11,52
10,Success,49,34,2,15,49
10,Success,48,37,0,11,48
10,Success,52,29,0,18,52
10,Success,50,34,1,15,50
10,Success,48,29,6,17,48
10,Success,50,32,0,13,50
10,Success,52,38,1,9,52
10,Success,52,35,0,9,52
10,Success,52,35,0,10,52
10,Success,45,36,7,12,45
10,Success,47,37,3,13,47
10,Success,47,30,7,16,47
10,Success,56,35,0,7,56
10,Success,58,31,2,9,58
10,Success,45,34,6,15,45
10,Success,47,39,0,13,47
10,Success,47,38,1,14,47
10,Success,50,33,7,10,50
10,Success,42,37,0,16,42
10,Success,43,39,3,15,43
10,Success,36,38,0,16,36
10,Success,43,35,0,22,43
10,Success,46,36,0,17,46
10,Success,50,30,8,12,50
10,Success,39,37,0,14,39
10,Success,55,35,1,9,55
