Threshold,Mob_Result,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10,Success,47,28,2,11,36
10,Success,44,34,0,14,30
10,Success,47,28,0,14,33
10,Success,47,22,7,13,34
10,Success,42,30,0,23,19
10,Success,44,31,0,14,30
10,Success,47,29,6,9,38
10,Success,49,32,0,7,42
10,Success,42,34,0,14,28
10,Success,46,32,2,7,39
10,Success,40,30,0,17,23
10,Success,47,27,0,15,32
10,Success,39,34,0,15,24
10,Success,43,38,0,13,30
10,Success,49,28,0,11,38
10,Success,43,26,11,12,31
10,Success,42,31,0,17,25
10,Success,54,23,0,13,41
10,Success,51,19,4,12,39
10,Success,44,22,6,21,23
10,Success,54,19,3,13,41
10,Success,49,24,0,15,34
10,Success,47,19,3,19,28
10,Success,52,28,0,10,42
10,Success,50,22,2,15,35
10,Success,45,39,0,7,38
10,Success,51,24,0,13,38
10,Success,43,22,7,14,29
10,Success,48,28,2,9,39
10,Success,45,26,1,17,28
10,Success,47,24,5,13,34
10,Success,49,19,5,16,33
10,Success,42,29,7,13,29
10,Success,52,20,2,13,39
10,Success,47,29,0,10,37
10,Success,45,24,1,13,32
10,Success,53,17,5,17,36
10,Success,54,31,0,5,49
10,Success,50,20,1,17,33
10,Success,49,29,0,10,39
10,Success,42,37,0,12,30
10,Success,53,15,6,13,40
10,Success,50,22,0,19,31
10,Success,51,24,0,12,39
10,Success,43,29,0,15,28
10,Success,49,33,0,8,41
10,Success,32,35,13,16,16
10,Success,49,35,0,11,38
10,Success,55,25,0,11,44
10,Success,48,26,0,17,31
10,Success,39,29,10,12,27
10,Success,49,28,0,13,36
10,Success,45,31,4,13,32
10,Success,49,34,0,10,39
10,Success,48,30,0,12,36
10,Success,42,30,0,15,27
10,Success,55,16,0,18,37
10,Success,43,30,0,12,31
10,Success,42,30,1,20,22
10,Success,48,33,0,13,35
10,Success,46,29,0,17,29
10,Success,44,30,0,13,31
10,Success,47,28,2,12,35
10,Success,47,26,3,11,36
10,Success,48,22,9,13,35
10,Success,47,32,0,9,38
10,Success,45,22,9,13,32
10,Success,42,34,0,13,29
10,Success,48,28,0,13,35
10,Success,52,25,0,15,37
10,Success,42,25,4,20,22
10,Success,41,26,3,16,25
10,Success,48,21,6,16,32
10,Success,47,20,8,16,31
10,Success,42,28,0,15,27
10,Success,48,33,0,7,41
10,Success,40,26,6,18,22
10,Success,56,19,2,12,44
10,Success,42,31,0,13,29
10,Success,56,19,2,13,43
10,Success,40,31,0,14,26
10,Success,49,25,0,13,36
10,Success,50,22,10,10,40
10,Success,43,31,2,15,28
10,Success,47,27,2,16,31
10,Success,40,31,9,16,24
10,Success,46,26,6,15,31
10,Success,42,31,8,14,28
10,Success,53,19,0,13,40
10,Success,48,22,4,16,32
10,Success,48,32,0,9,39
10,Success,53,20,6,8,45
10,Success,47,28,0,18,29
10,Success,50,25,0,15,35
10,Success,49,29,0,8,41
10,Success,46,27,0,15,31
10,Success,53,23,2,12,41
10,Success,45,25,0,19,26
10,Success,56,25,0,6,50
10,Success,52,24,4,14,38
10,Success,45,29,0,17,28
10,Success,46,30,0,12,34
10,Success,53,21,0,14,39
10,Success,50,15,7,15,35
10,Success,55,26,0,11,44
10,Success,42,27,0,18,24
10,Success,51,29,0,8,43
10,Success,46,22,6,14,32
10,Success,46,29,1,12,34
10,Success,43,36,0,15,28
10,Success,39,29,0,19,20
10,Success,50,19,1,12,38
10,Success,48,24,1,14,34
10,Success,46,28,0,14,32
10,Success,51,24,3,10,41
10,Success,43,30,0,13,30
10,Success,44,26,3,12,32
10,Success,45,38,0,9,36
10,Success,54,30,0,8,46
10,Success,56,20,0,10,46
10,Success,61,23,0,10,51
10,Success,42,29,8,14,28
10,Success,48,25,0,17,31
10,Success,51,31,0,7,44
10,Success,52,27,0,11,41
10,Success,47,28,0,13,34
10,Success,40,38,0,11,29
10,Success,52,21,0,17,35
10,Success,50,27,0,12,38
10,Success,39,30,8,15,24
10,Success,57,18,1,13,44
10,Success,54,22,1,8,46
10,Success,42,37,0,16,26
10,Success,51,28,0,9,42
10,Success,51,23,1,15,36
10,Success,47,32,0,14,33
10,Success,51,21,7,11,40
10,Success,51,18,7,13,38
10,Success,50,28,0,9,41
10,Success,48,23,0,16,32
10,Success,53,20,0,11,42
10,Success,50,29,1,9,41
10,Success,49,31,0,9,40
10,Success,39,35,0,15,24
10,Success,54,21,0,12,42
10,Success,48,26,0,13,35
10,Success,50,32,0,8,42
10,Success,36,34,0,20,16
10,Success,44,30,0,13,31
10,Success,59,17,1,10,49
10,Success,49,30,0,12,37
10,Success,45,28,0,11,34
10,Success,50,20,9,13,37
10,Success,42,36,0,13,29
10,Success,47,25,4,16,31
10,Success,43,34,0,15,28
10,Success,39,27,7,18,21
10,Success,53,22,7,9,44
10,Success,34,39,8,12,22
10,Success,39,32,3,16,23
10,Success,44,36,1,10,34
10,Success,45,29,0,16,29
10,Success,48,29,1,8,40
10,Success,46,30,2,8,38
10,Success,45,27,4,18,27
10,Success,47,33,0,13,34
10,Success,48,26,1,12,36
10,Success,48,27,2,14,34
10,Success,43,33,0,14,29
10,Success,51,24,6,13,38
10,Success,46,21,4,19,27
10,Success,44,34,0,12,32
10,Success,47,23,5,12,35
10,Success,47,32,0,12,35
10,Success,42,29,7,13,29
10,Success,52,24,2,10,42
10,Success,50,28,0,12,38
10,Success,46,22,8,17,29
10,Success,44,31,0,17,27
10,Success,49,27,6,9,40
10,Success,44,33,0,14,30
10,Success,52,24,0,13,39
10,Success,45,33,0,12,33
10,Success,49,26,0,18,31
10,Success,52,21,4,13,39
10,Success,60,19,0,13,47
10,Success,51,28,0,12,39
10,Success,45,38,0,11,34
10,Success,53,27,0,6,47
10,Success,50,24,0,15,35
10,Success,50,23,0,16,34
10,Success,40,30,9,15,25
10,Success,45,36,0,8,37
10,Success,54,20,1,11,43
10,Success,41,40,0,14,27
10,Success,45,30,0,13,32
10,Success,49,33,0,10,39
10,Success,42,28,9,13,29
10,Success,52,28,2,7,45
10,Success,37,33,8,14,23
10,Success,47,29,0,13,34
10,Success,52,24,1,12,40
10,Success,52,24,4,9,43
10,Success,46,26,0,14,32
10,Success,45,28,4,14,31
10,Success,50,20,0,19,31
10,Success,50,28,0,9,41
10,Success,48,28,2,12,36
10,Success,49,32,0,12,37
10,Success,40,39,0,11,29
10,Success,51,26,0,11,40
10,Success,49,32,2,9,40
10,Success,38,28,9,19,19
10,Success,47,23,0,20,27
10,Success,47,35,0,11,36
10,Success,47,24,4,14,33
10,Success,46,34,0,13,33
10,Success,47,25,4,11,36
10,Success,45,35,0,10,35
10,Success,46,34,0,15,31
10,Success,48,31,0,9,39
10,Success,45,35,0,13,32
10,Success,56,19,0,15,41
10,Success,42,26,4,19,23
10,Success,51,20,2,14,37
10,Success,46,24,11,14,32
10,Success,48,24,1,14,34
10,Success,49,25,3,12,37
10,Success,45,38,0,7,38
10,Success,47,24,2,15,32
10,Success,45,26,9,12,33
10,Success,55,19,0,16,39
10,Success,49,23,4,13,36
10,Success,46,32,0,11,35
10,Success,49,29,2,12,37
10,Success,43,26,9,12,31
10,Success,52,26,0,10,42
10,Success,52,25,0,13,39
10,Success,44,34,0,12,32
10,Success,48,32,0,13,35
10,Success,52,28,0,10,42
10,Success,54,24,0,13,41
10,Success,49,34,0,6,43
10,Success,45,25,4,16,29
10,Success,54,24,2,11,43
10,Success,52,29,1,6,46
10,Success,52,26,0,16,36
10,Success,42,33,0,12,30
10,Success,42,22,16,12,30
10,Success,40,26,3,22,18
10,Success,53,23,5,11,42
10,Success,49,30,1,6,43
10,Success,50,27,1,12,38
10,Success,44,25,0,19,25
10,Success,44,19,8,14,30
10,Success,56,23,0,10,46
10,Success,44,33,2,13,31
10,Success,47,27,0,13,34
