Mobs Success Rate,Mobs Fail Rate,Number of Invited Participants,Average Needed Powerful Actors
44.98,55.02,10,1
39.25,60.75,20,1
47.29,52.71,30,-1
44.78,55.22,40,-1
49.52,50.48,50,-3
46.42,53.58,60,-4
51.82,48.18,70,-5
49.12,50.88,80,-6
52.9,47.1,90,-7
50.33,49.67,100,-8
57.92,42.08,200,-20
59.22,40.78,300,-33
62.84,37.16,400,-45
65.01,34.99,500,-57
68.7,31.3,600,-70
68.93,31.07,700,-83
71.97,28.03,800,-96
72.94,27.06,900,-109
75.2,24.8,1000,-122
85.6,14.4,2000,-252
90.67,9.33,3000,-382
94.42,5.58,4000,-514
96.74,3.26,5000,-647
97.77,2.23,6000,-777
98.58,1.42,7000,-912
99.19,0.81,8000,-1039
99.38,0.62,9000,-1176
99.74,0.26,10000,-1303
