mobID,MobParticipationRate,AvgMobbersTimeToSayYes,AvgMobbersTimeToSayNo,AvgMobbersTimeToRespond
223075459,1.5,13572.5,0,9048.3333
60848572,1,65786.8889,0,65786.8889
223615041,1,0,0,0
238490475,1,15160.4545,17306.5,15732.7333
238490681,1,12070.5833,20176.6667,14772.6111
253871063,1,11320.0769,29224,13707.2667
273366194,0.975,56056.0909,69482.1,59178.4186
271637526,0.9524,7006.1176,14755.5,9876.2593
241736528,0.95,143449.5714,170000.6,150436.6842
245044976,0.95,58240.4118,88213.6667,66059.5217
263257297,0.95,19461.1429,29920.1429,24690.6429
240939134,0.9333,13207.1111,0,13207.1111
279432126,0.9333,2083,5621.2,3014.1053
289025249,0.9333,2893.9286,10257.3333,4193.3529
60848002,0.9,57135,0,57135
241735874,0.9,122557.7692,142093.5,125162.5333
238490398,0.8857,9313.8929,22407.75,12223.6389
287499745,0.8833,96143.0465,110020.5,97324.1064
293863461,0.7778,4576,0,4576
280800523,0.7556,30962.2903,59549.7143,36228.3947
222458845,0.75,6541.2,24848.5,11771.8571
242161664,0.7273,42214.8182,48935.2857,44828.3333
262095847,0.7143,7730.4,11340.6667,9084.25
230219139,0.7,57515,92731.6,70092.3571
249108665,0.7,62127.6923,84926.8889,71454.6364
60848292,0.65,60304.8889,0,60304.8889
249108620,0.65,24277.6667,37686,31334.6842
280824515,0.65,23805.1667,40780.8,28798
282410926,0.6111,6334.3,11277.3333,7475
280647616,0.6,13904.4615,21489,14915.7333
95114482,0.5867,4258.4286,8287.2381,5601.3651
264413627,0.525,28688.7059,47477.1,35647.3704
10293666,0.5,0,0,0
15955406,0.5,0,340.3333,255.25
239325061,0.5,4149.3636,5794,4501.7857
258111042,0.5,11078.6471,21209.1818,15058.5
258115846,0.5,13781.125,32576.5556,20547.48
258768550,0.5,11928.1765,22024.3333,16105.8966
258770644,0.5,17878.4211,33556.2,23284.5517
259327159,0.5,18375.7647,29545.0769,23215.8
259327165,0.5,28655,56149.6,38474.5
259327169,0.5,32097.8235,85605.2857,47704.1667
259327172,0.5,60473.5263,98050,76415.0606
261389534,0.5,8714,18658.25,13303.6538
261389601,0.5,18842.2667,36255.7778,25372.3333
261390696,0.5,22204.5,58405.6,34271.5333
261391267,0.5,34630,80295.6667,52307.0323
263256925,0.5,5289.3158,11983.3333,6895.88
263314566,0.5,23314.6,41636,33047.8438
264413611,0.5,16956.2222,29404.3,21401.9643
264413635,0.5,34079.8947,70767.75,40460.3913
265752606,0.5,40948.5625,69210.8182,52462.8148
265753011,0.5,54392,82486.1111,64116.8846
267371224,0.5,12444.1333,24787.7143,18403.1034
267371336,0.5,24457.2222,39772.1111,29562.1852
267371375,0.5,61322.625,63509.1818,62588.5263
267371414,0.5,48207,73859.5556,57086.7308
267371431,0.5,62610.75,106549.3333,76246.8621
270620370,0.5,5582.0556,14562,6054.6842
270875229,0.5,9501.375,15781,10492.8947
271369685,0.5,5977.5,10163.6667,6943.5385
271638013,0.5,80906.8,101365.1429,86210.8148
273365916,0.5,20014.1111,28554.875,22642.0385
278008981,0.5,37508.973,53554.6667,41438.5306
279378289,0.5,210.4,1332,312.3636
280647267,0.5,5682.1667,13275.25,7580.4375
280673184,0.5,36813.5,69624.25,42779.0909
282375327,0.5,8878.775,16028.25,10070.3542
288944588,0.5,1490,0,1490
265752321,0.475,29280.4667,50601.2308,39179.3929
283193441,0.4625,33507.4063,45168.9412,37553.2449
284730914,0.4625,38889.7059,49311.3889,42497.2115
290491763,0.4625,16952.0286,21473.2308,18176.5208
221318131,0.4583,0,0,0
275680046,0.4583,30500.5745,47849.2222,33288.75
240025176,0.45,58924.4545,76517.25,66331.9474
256937892,0.45,6242.4444,13424.6667,8038
263314615,0.45,51552,62358.9474,57418.6286
276673326,0.4375,25702,35303.7857,28757.1136
276788347,0.4375,67416.0645,87955.087,76164.1667
278008965,0.4375,14460.7742,21221.875,16762.4255
280162655,0.4333,2744.9167,4270.6667,3050.0667
257704607,0.4286,1666.3333,16051,5262.5
270118684,0.4286,2505.4118,9723.8,4145.9545
271637620,0.4286,40755.4667,52321.6429,46339.1379
265751835,0.425,16613.8462,31958.4,23285.3913
269254602,0.425,8165.75,16345.8333,11671.5
281877706,0.425,3909.129,12047.1538,6313.5455
283193450,0.425,52447.3939,64504.5333,56215.25
285364253,0.425,57726.2667,67226.4286,59523.5946
221674860,0.4231,4093.6,8706,5411.4286
276788313,0.4167,38114.2381,48402.6667,41200.7667
278075041,0.4167,4651.6,0,4651.6
282607481,0.4167,26807.6667,27045,26867
274584591,0.4125,21543.4333,28421.3,23262.9
291066829,0.4125,24405.6897,31144,26258.725
275680221,0.4083,52452.2051,64550.75,55298.9216
270287554,0.4048,7628.0625,16499.25,9402.3
271637601,0.4048,25530,35055.5,30128.5172
273365903,0.4048,4298.75,7601.4,5085.0952
169573202,0.4,1356.8889,21775.6667,6461.5833
249805997,0.4,5794.3333,11413,7199
260939708,0.4,17586.6,20312.75,18798.2222
270875569,0.4,13197.25,19650.4,15679.2308
272563821,0.4,5590.375,12921.5,7056.6
274584634,0.4,59029.4286,77049.5,63033.8889
279625205,0.4,1397.3,3059,2020.4375
281877743,0.4,21830.3793,32398.1875,25587.8222
285364237,0.4,33823.7097,41580.8889,35569.075
287559833,0.4,43152.625,52112,44148.1111
276788338,0.3917,52744.3171,67935.3333,56813.3393
108097372,0.3889,15109.6667,15494.25,15329.4286
271637705,0.381,55293.1538,74301.4167,64417.12
274584618,0.375,65318.6087,74658.1667,69418.9024
275680027,0.375,9418.4,17568.1667,12061.5676
287810493,0.375,45800.1111,59908.7143,48704.8235
274529324,0.3625,9604.9583,14029.9333,11306.8718
284352458,0.3625,4959.88,14751.6667,6855.0645
286796064,0.3625,12344.037,19007.0833,14394.2051
286796174,0.3625,51390.2692,68760.3,56215.2778
149260752,0.35,0,0,0
230219145,0.35,0,30735.4,30735.4
271369706,0.35,6324.5714,0,6324.5714
273920104,0.35,4523,0,4523
274584630,0.35,41229.8571,0,41229.8571
281345889,0.35,2687.9259,6874.8333,3449.1818
293075051,0.35,21153.2963,30246,21478.0357
276673173,0.3375,9983.3913,16290.6316,12836.6667
85403282,0.3333,1651.4248,1952.623,1737.2804
104741622,0.3333,4813.2286,6909.3571,5744.8413
130868242,0.3333,1839.125,18266.5,7314.9167
239746341,0.3333,106365.2667,76644.5,102868.7059
245777083,0.3333,98707.5333,129115.8889,110110.6667
246736601,0.3333,67247.3333,100021.1429,77675.3636
251631176,0.3333,55220.4444,68079.6875,61271.8529
251631249,0.3333,70469.0556,96548.8824,83136.4
253917758,0.3333,26660.4615,47567.2,37860.5
254933327,0.3333,32995.2353,38729.1333,35683
257360356,0.3333,2810.3125,13417.1429,6038.4783
257675576,0.3333,1845.0667,13321.2222,6148.625
257704536,0.3333,515,4524,1851.3333
273366199,0.3333,52422.2,62237,55226.4286
279822818,0.3333,1637.6,6179.5,3656.2222
293077547,0.3333,0,0,0
279082908,0.325,303.5833,943,431.4667
245536975,0.3167,102076.5625,121792.25,106019.7
285364221,0.3125,13982.35,22686.5714,16239
10706194,0.31,16422.75,37576,23473.8333
272178347,0.3,8500.6667,18397,9914.4286
272776302,0.3,11042.8333,27861,17770.1
280648753,0.3,2357.4444,2265.25,2329.0769
281036065,0.3,4082.5,5005,4267
281242200,0.3,2236.75,4040.6,2930.5385
288698712,0.3,9069.7143,20193.6,11208.9231
107085962,0.2963,0,7367,6446.125
288778087,0.29,27254.6296,0,27254.6296
294884885,0.2889,6805.9,16368.6,8718.44
284375493,0.2875,22224.7895,32445.5625,26897.1429
292486308,0.2875,18718.3333,27855.4,20475.4615
260943807,0.2857,3636,0,3636
249108475,0.2833,13904.2143,17242.25,15444.8462
288944602,0.2833,8162.2,3035,7841.75
273365912,0.2778,3046.5,8821.1667,6511.3
236154962,0.275,27805.8571,59662.4286,43734.1429
283173560,0.275,9120.1579,17511.4167,12368.3871
287809650,0.275,27476.2727,35327.75,28684.1923
288699902,0.275,51057.05,69290.2143,58564.8235
239404201,0.2667,70654.7692,100350.5714,81048.3
240834003,0.2667,35460.6154,50930.3333,40345.7895
243730302,0.2667,137991.7143,172364.6667,148303.6
245536972,0.2667,71696.9375,103918.3333,76784.5263
254933745,0.2667,41730.2,63203.2353,53137.75
255360871,0.2667,0,0,0
260939675,0.2667,3986,4199,4057
282636035,0.2625,2598.2,8041.7,4412.7
290796396,0.2625,9445.1053,19522.4615,13539.0313
89974982,0.25,2062.875,2141.5,2089.0833
238726696,0.25,60579.0833,79769,65376.5625
241736522,0.25,87778.3636,117254,95638.5333
251631126,0.25,29626.9231,57179.1667,42852
254651588,0.25,140,96,125.3333
254684089,0.25,1343.5,3724,2137
254933239,0.25,19791.3846,25284.2381,23184.0294
257704449,0.25,7406.3333,0,7406.3333
274584613,0.25,29210.5333,47355.7826,40193.1842
286796113,0.25,24374.3,38362.5714,28000.8889
293075115,0.25,41841.3,47000.75,42701.2083
281477952,0.2375,3432.0625,7142.375,4668.8333
285364363,0.2375,82912.7222,85944.125,83845.4615
288699418,0.2375,23257,37233.6,26584.7619
293649572,0.2375,22410,30794.6667,23733.8947
293649653,0.2375,38170.6471,44788,38538.2778
227622400,0.2333,4397.8333,5516,4557.5714
236306887,0.2333,77783.3636,43684.3333,70476.4286
236306920,0.2333,40091.7778,59479.8571,48574.0625
238373857,0.2333,7310.5,13104.5,8138.2143
240834010,0.2333,75699.1818,103298.25,83058.9333
273365974,0.225,30687.3333,48483.8333,38596.8889
283024373,0.225,3009.8889,7522.1429,4273.32
284730904,0.225,17115.5,29809.3333,20288.9583
287809618,0.225,9239.5294,19225,11141.5238
292701748,0.225,25275.2778,33263,27272.2083
230219147,0.2167,180004.3,218138.6,192715.7333
230219152,0.2167,215803.5556,257807.7,237911
