MobID,TrueClassForMeetupMobs,PredictedSimulationClass
10261524,0,1
10293116,0,1
10293666,0,0
10647999,1,1
10706194,1,1
11791098,0,1
12699530,0,1
15294976,1,1
15955406,0,1
16086043,0,1
16086086,0,1
19344901,1,1
60848002,1,0
60848292,0,0
60848572,1,0
85403282,1,1
88017132,1,1
89974982,1,1
95114482,1,0
104741622,1,1
107085962,1,1
108097372,1,0
113010422,1,1
116237542,1,1
116378002,1,1
126553912,1,1
130868242,1,1
133611782,1,1
137256832,1,1
142525172,0,1
149260752,0,1
169573202,1,0
194790062,1,1
201090572,1,1
201793592,0,1
216058382,1,1
220268926,0,1
221318131,0,0
221674860,1,0
221885540,0,1
222392450,1,1
222458845,1,0
223075459,0,0
223615041,0,0
227622400,0,1
227939320,1,1
228040426,1,1
228040644,0,1
228841419,1,1
229432719,1,1
229989626,0,1
230219137,1,1
230219139,1,0
230219141,1,1
230219145,1,0
230219147,1,1
230219152,1,1
230885283,0,1
232539771,0,1
234251078,1,1
234544776,1,1
235703420,0,1
235815316,1,1
235815361,0,1
236154962,1,1
236279781,0,1
236306887,1,1
236306920,1,1
236306942,0,1
236642693,1,1
236673962,0,1
237753048,1,1
237753256,1,1
238373857,1,1
238374121,1,1
238490398,1,0
238490475,0,0
238490681,0,0
238726696,1,1
239325061,1,0
239404201,1,1
239447051,1,1
239746341,1,1
240025136,1,1
240025176,1,0
240611558,1,1
240813013,1,1
240813090,0,1
240834003,1,1
240834010,1,1
240834023,1,1
240939134,0,0
241735874,1,0
241736058,1,1
241736413,0,1
241736522,1,1
241736528,1,0
241736536,1,1
242161664,1,0
243101902,1,1
243279522,1,1
243730302,0,1
244314711,1,1
244314740,1,1
244342891,0,1
245044976,1,0
245536972,1,1
245536975,1,1
245777083,1,1
245777104,0,1
246147466,0,1
246211052,1,1
246446420,0,1
246597520,0,1
246597545,0,1
246736601,1,1
247230930,0,1
247455638,0,1
247664764,0,1
247665052,0,1
247665069,0,1
247739578,0,1
247764431,0,1
248113763,0,1
248835161,1,1
249108475,1,1
249108620,1,0
249108657,1,1
249108665,1,0
249108674,1,1
249108679,1,1
249562688,0,1
249805997,1,0
250584781,0,1
251631087,1,1
251631126,1,1
251631176,1,1
251631249,1,1
253337129,1,1
253871063,1,0
253891754,1,1
253917758,1,1
254651588,0,1
254684089,0,1
254933239,1,1
254933327,1,1
254933745,1,1
255360871,0,1
256776387,1,1
256937892,1,0
257360356,1,1
257675576,1,1
257704449,0,1
257704536,1,1
257704607,0,0
258092106,0,1
258111042,1,0
258115846,1,0
258127643,0,1
258768550,1,0
258770644,1,0
259088286,1,1
259327159,1,0
259327165,1,0
259327169,1,0
259327172,1,0
260638184,0,1
260939675,1,1
260939708,1,0
260939833,0,1
260940180,0,1
260943795,0,1
260943807,1,1
261285718,0,1
261389534,1,0
261389601,1,0
261390696,1,0
261391267,1,0
262095847,0,0
262095985,0,1
263256925,1,0
263257297,1,0
263314566,1,0
263314615,1,0
264413611,1,0
264413627,1,0
264413635,1,0
264428263,1,1
264613578,0,1
265751835,1,0
265752321,1,0
265752606,1,0
265753011,1,0
266135329,0,1
267371224,1,0
267371336,1,0
267371375,1,0
267371414,1,0
267371431,1,0
267989786,1,1
269254602,1,0
270620370,1,0
270875229,1,0
271369685,1,0
271637526,1,0
271637601,1,0
271637620,1,0
271637705,1,0
271638013,1,0
273365903,1,0
