Mobs Success Rate,Mobs Fail Rate,Number of Invited Participants,Average Needed Powerful Actors
44.27,55.73,10,3
40.4,59.6,20,4
47.5,52.5,30,4
42.98,57.02,40,5
49.91,50.09,50,5
45.54,54.46,60,5
51.11,48.89,70,6
47.97,52.03,80,6
53.15,46.85,90,6
50.93,49.07,100,6
56.84,43.16,200,8
58.15,41.85,300,9
63.77,36.23,400,10
64.01,35.99,500,11
67.56,32.44,600,12
68.78,31.22,700,12
72.11,27.89,800,13
72.89,27.11,900,13
75.34,24.66,1000,14
85.96,14.04,2000,17
91.06,8.94,3000,18
94.48,5.52,4000,20
96.17,3.83,5000,20
97.92,2.08,6000,20
98.76,1.24,7000,20
99.21,0.79,8000,19
99.4,0.6,9000,20
99.63,0.37,10000,22
