Threshold,Mob_Result,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10,Success,50,19,5,13,50
10,Success,48,30,0,10,48
10,Success,48,28,1,12,48
10,Success,46,39,0,8,46
10,Success,48,28,0,14,48
10,Success,42,35,0,12,42
10,Success,43,28,3,13,43
10,Success,43,18,2,23,43
10,Success,48,30,0,11,48
10,Success,51,23,0,12,51
10,Success,47,28,4,12,47
10,Success,49,32,0,8,49
10,Success,57,21,1,8,57
10,Success,51,22,2,13,51
10,Success,46,25,0,17,46
10,Success,50,26,8,8,50
10,Success,45,32,0,11,45
10,Success,49,27,6,9,49
10,Success,51,30,0,9,51
10,Success,46,26,6,13,46
10,Success,56,20,0,12,56
10,Success,41,27,3,17,41
10,Success,46,25,3,14,46
10,Success,56,23,0,12,56
10,Success,45,26,0,21,45
10,Success,44,29,8,12,44
10,Success,47,31,5,9,47
10,Success,41,34,1,15,41
10,Success,48,26,5,12,48
10,Success,49,27,2,14,49
10,Success,41,34,0,12,41
10,Success,42,25,9,15,42
10,Success,45,23,0,20,45
10,Success,49,26,11,7,49
10,Success,53,31,0,5,53
10,Success,48,22,0,14,48
10,Success,47,32,0,10,47
10,Success,51,24,0,20,51
10,Success,59,23,0,5,59
10,Success,48,15,10,18,48
10,Success,50,25,0,11,50
10,Success,55,21,1,11,55
10,Success,44,28,0,15,44
10,Success,46,33,0,13,46
10,Success,45,29,5,13,45
10,Success,50,19,6,11,50
10,Success,45,21,8,15,45
10,Success,49,28,0,11,49
10,Success,51,26,4,7,51
10,Success,43,32,3,14,43
10,Success,54,23,0,10,54
10,Success,43,37,0,14,43
10,Success,63,16,0,11,63
10,Success,39,30,5,18,39
10,Success,44,24,4,16,44
10,Success,49,23,4,15,49
10,Success,51,25,0,9,51
10,Success,44,39,0,8,44
10,Success,43,35,7,7,43
10,Success,58,21,0,9,58
10,Success,48,31,0,12,48
10,Success,47,31,0,12,47
10,Success,43,24,4,17,43
10,Success,51,23,4,11,51
10,Success,52,27,0,9,52
10,Success,53,22,6,9,53
10,Success,47,21,3,18,47
10,Success,42,39,0,11,42
10,Success,42,27,6,14,42
10,Success,46,32,0,11,46
10,Success,54,19,0,14,54
10,Success,41,27,9,18,41
10,Success,51,24,0,12,51
10,Success,50,19,1,15,50
10,Success,47,28,0,12,47
10,Success,43,28,0,16,43
10,Success,36,32,13,10,36
10,Success,46,23,12,8,46
10,Success,47,38,0,7,47
10,Success,44,31,0,15,44
10,Success,48,21,0,18,48
10,Success,51,27,5,6,51
10,Success,47,34,0,9,47
10,Success,47,33,4,9,47
10,Success,49,32,0,7,49
10,Success,44,30,0,20,44
10,Success,49,27,1,9,49
10,Success,44,34,0,9,44
10,Success,48,30,0,13,48
10,Success,48,27,0,14,48
10,Success,55,22,1,11,55
10,Success,49,27,2,11,49
10,Success,50,27,0,10,50
10,Success,54,21,6,10,54
10,Success,48,30,0,14,48
10,Success,46,24,9,13,46
10,Success,46,24,7,15,46
10,Success,47,30,5,8,47
10,Success,50,21,0,16,50
10,Success,51,27,0,12,51
10,Success,47,33,0,12,47
10,Success,47,35,0,8,47
10,Success,48,23,2,16,48
10,Success,43,26,1,17,43
10,Success,47,27,7,14,47
10,Success,48,30,5,10,48
10,Success,54,30,0,10,54
10,Success,46,29,0,16,46
10,Success,45,34,0,17,45
10,Success,44,30,1,13,44
10,Success,47,25,4,17,47
10,Success,45,20,12,13,45
10,Success,48,26,0,15,48
10,Success,52,29,0,7,52
10,Success,38,40,0,16,38
10,Success,45,29,0,19,45
10,Success,44,25,0,16,44
10,Success,46,34,0,12,46
10,Success,45,22,0,20,45
10,Success,49,23,2,9,49
10,Success,47,25,6,11,47
10,Success,45,25,3,15,45
10,Success,50,28,0,13,50
10,Success,53,23,0,11,53
10,Success,50,19,2,15,50
10,Success,57,18,4,9,57
10,Success,53,28,3,8,53
10,Success,60,18,8,8,60
10,Success,46,23,0,21,46
10,Success,47,32,0,11,47
10,Success,49,24,0,17,49
10,Success,58,19,0,8,58
10,Success,55,24,0,11,55
10,Success,38,39,0,15,38
10,Success,49,21,0,13,49
10,Success,50,22,3,14,50
10,Success,50,18,0,18,50
10,Success,46,29,2,18,46
10,Success,38,38,0,16,38
10,Success,53,25,2,10,53
10,Success,52,28,0,8,52
10,Success,52,25,0,12,52
10,Success,58,19,5,7,58
10,Success,44,36,0,12,44
10,Success,48,22,7,16,48
10,Success,47,20,9,14,47
10,Success,57,28,0,6,57
10,Success,42,28,6,13,42
10,Success,46,26,6,14,46
10,Success,47,19,7,18,47
10,Success,52,20,1,15,52
10,Success,42,34,2,11,42
10,Success,48,27,0,10,48
10,Success,42,31,0,15,42
10,Success,52,21,8,9,52
10,Success,54,22,1,9,54
10,Success,47,32,0,13,47
10,Success,52,24,0,14,52
10,Success,41,38,0,11,41
10,Success,50,24,0,14,50
10,Success,45,33,0,12,45
10,Success,58,22,4,8,58
10,Success,42,25,0,22,42
10,Success,56,26,0,12,56
10,Success,57,20,0,11,57
10,Success,46,32,4,8,46
10,Success,49,37,0,9,49
10,Success,50,28,0,13,50
10,Success,48,26,0,16,48
10,Success,56,20,3,13,56
10,Success,46,24,0,16,46
10,Success,53,29,0,8,53
10,Success,45,38,0,9,45
10,Success,61,22,0,3,61
10,Success,45,29,3,11,45
10,Success,39,26,13,15,39
10,Success,53,23,3,10,53
10,Success,43,33,0,15,43
10,Success,49,32,0,9,49
10,Success,43,32,0,16,43
10,Success,40,35,0,14,40
10,Success,47,25,0,18,47
10,Success,51,26,0,14,51
10,Success,44,31,4,14,44
10,Success,39,39,4,10,39
10,Success,41,32,7,13,41
10,Success,49,25,4,13,49
10,Success,48,25,0,12,48
10,Success,53,21,0,16,53
10,Success,48,29,0,12,48
10,Success,46,22,10,12,46
10,Success,47,33,0,11,47
10,Success,51,28,0,11,51
10,Success,48,28,0,11,48
10,Success,45,29,0,14,45
10,Success,54,23,2,8,54
10,Success,45,25,8,16,45
10,Success,54,21,3,11,54
10,Success,46,26,1,17,46
10,Success,51,29,0,11,51
10,Success,59,23,0,9,59
10,Success,56,23,0,11,56
10,Success,46,22,8,11,46
10,Success,43,29,1,17,43
10,Success,51,26,0,10,51
10,Success,47,24,0,15,47
10,Success,47,35,0,10,47
10,Success,52,30,0,8,52
10,Success,41,36,2,13,41
10,Success,47,29,0,16,47
10,Success,39,42,0,12,39
10,Success,46,27,9,12,46
10,Success,49,27,0,15,49
10,Success,51,25,3,12,51
10,Success,39,35,0,16,39
10,Success,55,17,0,10,55
10,Success,54,23,0,13,54
10,Success,48,24,0,17,48
10,Success,45,35,0,10,45
10,Success,47,31,0,8,47
10,Success,51,26,1,11,51
10,Success,43,22,6,22,43
10,Success,50,24,0,12,50
10,Success,38,35,0,18,38
10,Success,54,22,0,17,54
10,Success,44,27,8,13,44
10,Success,45,29,2,15,45
10,Success,45,32,0,12,45
10,Success,41,28,4,15,41
10,Success,48,41,0,5,48
10,Success,45,28,1,15,45
10,Success,51,26,0,10,51
10,Success,46,26,2,13,46
10,Success,46,32,0,13,46
10,Success,54,27,0,9,54
10,Success,47,26,3,13,47
10,Success,46,23,7,12,46
10,Success,40,28,12,16,40
10,Success,44,39,0,10,44
10,Success,47,29,0,12,47
10,Success,45,36,0,8,45
10,Success,46,24,3,14,46
10,Success,50,29,0,14,50
10,Success,48,31,0,11,48
10,Success,44,29,5,16,44
10,Success,48,28,2,8,48
10,Success,50,27,4,9,50
10,Success,50,23,0,16,50
10,Success,50,28,0,9,50
10,Success,47,27,0,14,47
10,Success,47,28,5,12,47
10,Success,50,24,2,15,50
10,Success,54,23,4,8,54
10,Success,46,33,2,10,46
10,Success,45,34,0,13,45
10,Success,57,23,0,11,57
10,Success,50,29,0,12,50
10,Success,47,23,1,16,47
10,Success,44,31,0,14,44
10,Success,42,32,0,15,42
10,Success,50,28,0,9,50
10,Success,46,39,0,9,46
10,Success,48,28,0,13,48
10,Success,48,19,6,15,48
10,Success,57,20,4,7,57
10,Success,57,17,5,9,57
10,Success,57,21,0,9,57
10,Success,52,33,0,8,52
10,Success,46,27,0,14,46
10,Success,46,33,0,13,46
10,Success,51,25,1,10,51
10,Success,46,23,2,15,46
10,Success,44,37,0,9,44
10,Success,45,27,4,13,45
10,Success,52,20,3,14,52
10,Success,52,28,5,6,52
10,Success,53,23,0,10,53
10,Success,41,32,0,20,41
10,Success,49,22,2,14,49
10,Success,53,24,0,10,53
10,Success,46,33,0,11,46
10,Success,45,28,0,18,45
10,Success,61,17,3,8,61
10,Success,50,33,0,7,50
10,Success,46,30,0,13,46
10,Success,50,29,0,11,50
10,Success,50,24,0,11,50
10,Success,52,19,3,15,52
10,Success,47,21,8,13,47
10,Success,52,21,2,14,52
10,Success,53,23,3,10,53
10,Success,45,18,10,17,45
10,Success,47,27,2,9,47
10,Success,51,29,0,11,51
10,Success,36,40,5,14,36
10,Success,42,27,8,14,42
10,Success,48,23,7,10,48
10,Success,49,27,0,14,49
10,Success,47,26,3,13,47
10,Success,44,32,0,13,44
10,Success,45,24,6,15,45
10,Success,54,19,2,14,54
10,Success,49,28,4,11,49
10,Success,50,26,1,13,50
10,Success,47,21,3,19,47
10,Success,42,34,0,14,42
10,Success,53,22,0,8,53
10,Success,47,28,4,12,47
10,Success,46,33,0,10,46
10,Success,44,34,1,12,44
10,Success,54,18,0,15,54
10,Success,51,25,3,9,51
10,Success,52,29,4,7,52
10,Success,54,20,0,15,54
10,Success,56,20,5,11,56
10,Success,44,32,0,18,44
10,Success,52,20,1,15,52
10,Success,47,37,0,11,47
10,Success,45,30,0,12,45
10,Success,50,31,3,7,50
10,Success,55,21,5,10,55
10,Success,48,28,0,11,48
10,Success,52,24,1,11,52
10,Success,53,16,11,12,53
10,Success,47,35,0,12,47
10,Success,52,27,1,8,52
10,Success,48,33,0,10,48
10,Success,46,22,4,15,46
10,Success,45,23,3,15,45
10,Success,55,26,0,12,55
10,Success,47,25,6,14,47
10,Success,42,32,1,13,42
10,Success,39,32,9,14,39
10,Success,44,36,0,13,44
10,Success,45,33,0,13,45
10,Success,52,28,0,12,52
10,Success,44,31,3,11,44
10,Success,42,38,0,9,42
10,Success,38,28,10,16,38
10,Success,53,19,0,18,53
10,Success,52,18,2,16,52
10,Success,54,23,1,15,54
10,Success,47,26,8,8,47
10,Success,45,26,6,15,45
10,Success,46,28,0,16,46
10,Success,47,29,4,10,47
10,Success,52,19,6,9,52
10,Success,46,28,5,11,46
10,Success,57,17,2,13,57
10,Success,51,23,0,13,51
10,Success,47,26,1,14,47
10,Success,46,32,0,13,46
10,Success,49,23,4,13,49
10,Success,46,21,7,15,46
10,Success,51,19,13,10,51
10,Success,48,23,12,12,48
10,Success,44,31,0,14,44
10,Success,51,20,1,17,51
10,Success,51,18,5,18,51
10,Success,49,25,0,11,49
10,Success,46,34,0,13,46
10,Success,48,35,0,7,48
10,Success,53,27,0,13,53
10,Success,53,27,2,10,53
10,Success,48,32,0,13,48
10,Success,44,29,7,13,44
10,Success,47,23,0,14,47
10,Success,49,24,2,14,49
10,Success,54,22,0,13,54
10,Success,49,23,4,15,49
10,Success,55,19,1,12,55
10,Success,49,26,5,9,49
10,Success,49,24,0,15,49
10,Success,51,23,0,12,51
10,Success,48,23,0,19,48
10,Success,50,28,0,13,50
10,Success,48,29,1,11,48
10,Success,47,26,0,14,47
10,Success,50,16,10,14,50
10,Success,49,28,2,8,49
10,Success,47,23,11,9,47
