Threshold Value,Number Of Mobs Simulated,Mobs Success Rate,Mobs Fail Rate,Number of Invited Participants,Average Needed Powerful Actors
35.5,10000,44.98,55.02,10,1
35.5,10000,39.25,60.75,20,1
35.5,10000,47.29,52.71,30,-1
35.5,10000,44.78,55.22,40,-1
35.5,10000,49.52,50.48,50,-3
35.5,10000,46.42,53.58,60,-4
35.5,10000,51.82,48.18,70,-5
35.5,10000,49.12,50.88,80,-6
35.5,10000,52.9,47.1,90,-7
35.5,10000,50.33,49.67,100,-8
35.5,10000,57.92,42.08,200,-20
35.5,10000,59.22,40.78,300,-33
35.5,10000,62.84,37.16,400,-45
35.5,10000,65.01,34.99,500,-57
35.5,10000,68.7,31.3,600,-70
35.5,10000,68.93,31.07,700,-83
35.5,10000,71.97,28.03,800,-96
35.5,10000,72.94,27.06,900,-109
35.5,10000,75.2,24.8,1000,-122
35.5,10000,85.6,14.4,2000,-252
35.5,10000,90.67,9.33,3000,-382
35.5,10000,94.42,5.58,4000,-514
35.5,10000,96.74,3.26,5000,-647
35.5,10000,97.77,2.23,6000,-777
35.5,10000,98.58,1.42,7000,-912
35.5,10000,99.19,0.81,8000,-1039
35.5,10000,99.38,0.62,9000,-1176
35.5,10000,99.74,0.26,10000,-1303
