Threshold,Mob_Result,Num_Powerful_Actors,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10.0,Success,0,44,42,0,12,44.0
10.0,Success,0,50,27,0,17,50.0
10.0,Success,0,48,38,0,13,48.0
10.0,Success,0,42,38,2,18,42.0
10.0,Success,0,52,32,0,12,52.0
10.0,Success,0,48,36,7,9,48.0
10.0,Success,0,52,31,2,15,52.0
10.0,Success,0,51,35,0,14,51.0
10.0,Success,0,41,41,5,13,41.0
10.0,Success,0,40,42,9,9,40.0
10.0,Success,0,51,37,3,9,51.0
10.0,Success,0,52,30,0,16,52.0
10.0,Success,0,59,28,0,8,59.0
10.0,Success,0,47,40,0,13,47.0
10.0,Success,0,49,32,1,18,49.0
10.0,Success,0,54,37,1,8,54.0
10.0,Success,0,46,36,0,18,46.0
10.0,Success,0,48,33,0,10,48.0
10.0,Success,0,49,39,0,9,49.0
10.0,Success,0,50,39,0,9,50.0
10.0,Success,0,50,36,0,14,50.0
10.0,Success,0,46,36,7,11,46.0
10.0,Success,0,45,37,0,14,45.0
10.0,Success,0,50,35,0,15,50.0
10.0,Success,0,46,38,0,15,46.0
10.0,Success,0,41,35,8,16,41.0
10.0,Success,0,43,42,0,13,43.0
10.0,Success,0,57,28,0,10,56.99999999999999
10.0,Success,0,51,33,5,11,51.0
10.0,Success,0,41,43,4,12,41.0
10.0,Success,0,46,30,10,14,46.0
10.0,Success,0,39,42,6,13,39.0
10.0,Success,0,51,33,3,13,51.0
10.0,Success,0,52,38,1,9,52.0
10.0,Success,0,38,45,5,12,38.0
10.0,Success,0,40,43,0,16,40.0
10.0,Success,0,52,31,6,11,52.0
10.0,Success,0,53,30,8,9,53.0
10.0,Success,0,51,35,0,13,51.0
10.0,Success,0,55,31,1,13,55.00000000000001
10.0,Success,0,58,30,0,8,57.99999999999999
10.0,Success,0,52,35,0,10,52.0
10.0,Success,0,48,34,2,16,48.0
10.0,Success,0,52,32,0,14,52.0
10.0,Success,0,44,32,0,20,44.0
10.0,Success,0,55,34,0,7,55.00000000000001
10.0,Success,0,48,35,0,10,48.0
10.0,Success,0,48,33,7,12,48.0
10.0,Success,0,49,35,0,11,49.0
10.0,Success,0,53,29,0,7,53.0
10.0,Success,0,47,29,0,15,47.0
10.0,Success,0,41,41,0,13,41.0
10.0,Success,0,48,37,2,13,48.0
10.0,Success,0,43,37,0,18,43.0
10.0,Success,0,55,28,0,12,55.00000000000001
10.0,Success,0,44,36,10,10,44.0
10.0,Success,0,54,24,9,13,54.0
10.0,Success,0,49,37,0,14,49.0
10.0,Success,0,46,42,1,11,46.0
10.0,Success,0,50,34,2,14,50.0
10.0,Success,0,46,30,6,18,46.0
10.0,Success,0,44,30,0,17,44.0
10.0,Success,0,51,32,4,13,51.0
10.0,Success,0,48,40,3,9,48.0
10.0,Success,0,54,31,0,14,54.0
10.0,Success,0,45,40,8,7,45.0
10.0,Success,0,46,35,0,14,46.0
10.0,Success,0,58,33,2,7,57.99999999999999
10.0,Success,0,54,31,0,6,54.0
10.0,Success,0,49,34,0,17,49.0
10.0,Success,0,48,42,0,10,48.0
10.0,Success,0,47,35,0,13,47.0
10.0,Success,0,51,37,0,12,51.0
10.0,Success,0,52,37,0,11,52.0
10.0,Success,0,52,33,3,12,52.0
10.0,Success,0,47,38,0,14,47.0
10.0,Success,0,37,40,5,18,37.0
10.0,Success,0,47,42,0,11,47.0
10.0,Success,0,46,38,6,10,46.0
10.0,Success,0,46,38,1,15,46.0
10.0,Success,0,40,39,0,15,40.0
10.0,Success,0,53,36,0,11,53.0
10.0,Success,0,48,36,0,10,48.0
