Threshold,Mob_Result,Num_Powerful_Actors,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
10.0,Success,0,47,28,2,11,36.0
10.0,Success,0,44,34,0,14,30.0
10.0,Success,0,47,28,0,14,33.0
10.0,Success,0,47,22,7,13,34.0
10.0,Success,0,42,30,0,23,19.0
10.0,Success,0,44,31,0,14,30.0
10.0,Success,0,47,29,6,9,38.0
10.0,Success,0,49,32,0,7,42.0
10.0,Success,0,42,34,0,14,28.000000000000004
10.0,Success,0,46,32,2,7,39.0
10.0,Success,0,40,30,0,17,23.0
10.0,Success,0,47,27,0,15,32.0
10.0,Success,0,39,34,0,15,24.0
10.0,Success,0,43,38,0,13,30.0
10.0,Success,0,49,28,0,11,38.0
10.0,Success,0,43,26,11,12,31.0
10.0,Success,0,42,31,0,17,25.0
10.0,Success,0,54,23,0,13,41.0
10.0,Success,0,51,19,4,12,39.0
10.0,Success,0,44,22,6,21,23.0
10.0,Success,0,54,19,3,13,41.0
10.0,Success,0,49,24,0,15,34.0
10.0,Success,0,47,19,3,19,28.000000000000004
10.0,Success,0,52,28,0,10,42.0
10.0,Success,0,50,22,2,15,35.0
10.0,Success,0,45,39,0,7,38.0
10.0,Success,0,51,24,0,13,38.0
10.0,Success,0,43,22,7,14,28.999999999999996
10.0,Success,0,48,28,2,9,39.0
10.0,Success,0,45,26,1,17,28.000000000000004
10.0,Success,0,47,24,5,13,34.0
10.0,Success,0,49,19,5,16,33.0
10.0,Success,0,42,29,7,13,28.999999999999996
10.0,Success,0,52,20,2,13,39.0
10.0,Success,0,47,29,0,10,37.0
10.0,Success,0,45,24,1,13,32.0
10.0,Success,0,53,17,5,17,36.0
10.0,Success,0,54,31,0,5,49.0
10.0,Success,0,50,20,1,17,33.0
10.0,Success,0,49,29,0,10,39.0
10.0,Success,0,42,37,0,12,30.0
10.0,Success,0,53,15,6,13,40.0
10.0,Success,0,50,22,0,19,31.0
10.0,Success,0,51,24,0,12,39.0
10.0,Success,0,43,29,0,15,28.000000000000004
10.0,Success,0,49,33,0,8,41.0
10.0,Success,0,32,35,13,16,16.0
10.0,Success,0,49,35,0,11,38.0
10.0,Success,0,55,25,0,11,44.0
10.0,Success,0,48,26,0,17,31.0
10.0,Success,0,39,29,10,12,27.0
10.0,Success,0,49,28,0,13,36.0
10.0,Success,0,45,31,4,13,32.0
10.0,Success,0,49,34,0,10,39.0
10.0,Success,0,48,30,0,12,36.0
10.0,Success,0,42,30,0,15,27.0
10.0,Success,0,55,16,0,18,37.0
10.0,Success,0,43,30,0,12,31.0
10.0,Success,0,42,30,1,20,22.0
10.0,Success,0,48,33,0,13,35.0
10.0,Success,0,46,29,0,17,28.999999999999996
10.0,Success,0,44,30,0,13,31.0
10.0,Success,0,47,28,2,12,35.0
10.0,Success,0,47,26,3,11,36.0
10.0,Success,0,48,22,9,13,35.0
10.0,Success,0,47,32,0,9,38.0
10.0,Success,0,45,22,9,13,32.0
