Threshold Value,Number Of Mobs Simulated,Mobs Success Rate,Mobs Fail Rate,Number of Invited Participants,Average Needed Powerful Actors
48,10000,47.37,52.63,10,2
48,10000,42.3,57.7,20,3
48,10000,41.05,58.95,30,3
48,10000,40.38,59.62,40,4
48,10000,51.07,48.93,50,4
48,10000,49.43,50.57,60,4
48,10000,47.54,52.46,70,4
48,10000,47.58,52.42,80,4
48,10000,46.74,53.26,90,5
48,10000,54.58,45.42,100,5
48,10000,60.56,39.44,200,6
48,10000,64.15,35.85,300,6
48,10000,68.21,31.79,400,7
48,10000,72.73,27.27,500,8
48,10000,74.49,25.51,600,8
48,10000,77.26,22.74,700,8
48,10000,79.66,20.34,800,8
48,10000,82.06,17.94,900,9
48,10000,83.63,16.37,1000,9
48,10000,94.11,5.89,2000,10
48,10000,97.43,2.57,3000,11
48,10000,98.92,1.08,4000,10
48,10000,99.52,0.48,5000,12
48,10000,99.78,0.22,6000,10
48,10000,99.96,0.04,7000,18
48,10000,99.98,0.02,8000,3
48,10000,99.97,0.03,9000,15
48,10000,99.97,0.03,10000,7
