Threshold Value,Number Of Mobs Simulated,Mobs Success Rate,Mobs Fail Rate,Number of Invited Participants,Average Needed Powerful Actors
35.5,10000,44.27,55.73,10,3
35.5,10000,40.4,59.6,20,4
35.5,10000,47.5,52.5,30,4
35.5,10000,42.98,57.02,40,5
35.5,10000,49.91,50.09,50,5
35.5,10000,45.54,54.46,60,5
35.5,10000,51.11,48.89,70,6
35.5,10000,47.97,52.03,80,6
35.5,10000,53.15,46.85,90,6
35.5,10000,50.93,49.07,100,6
35.5,10000,56.84,43.16,200,8
35.5,10000,58.15,41.85,300,9
35.5,10000,63.77,36.23,400,10
35.5,10000,64.01,35.99,500,11
35.5,10000,67.56,32.44,600,12
35.5,10000,68.78,31.22,700,12
35.5,10000,72.11,27.89,800,13
35.5,10000,72.89,27.11,900,13
35.5,10000,75.34,24.66,1000,14
35.5,10000,85.96,14.04,2000,17
35.5,10000,91.06,8.94,3000,18
35.5,10000,94.48,5.52,4000,20
35.5,10000,96.17,3.83,5000,20
35.5,10000,97.92,2.08,6000,20
35.5,10000,98.76,1.24,7000,20
35.5,10000,99.21,0.79,8000,19
35.5,10000,99.4,0.6,9000,20
35.5,10000,99.63,0.37,10000,22
