Threshold,Mob_Result,Num_Powerful_Actors,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
50.0,Fail,0,4947,3728,0,1273,49.47
50.0,Fail,0,4967,3755,26,1252,49.669999999999995
50.0,Fail,0,4971,3781,36,1212,49.71
50.0,Success,0,5051,3690,2,1257,50.51
50.0,Fail,0,4946,3751,0,1222,49.46
50.0,Fail,0,4894,3805,0,1286,48.94
50.0,Fail,0,4875,3790,65,1270,48.75
50.0,Fail,0,4978,3758,0,1258,49.78
50.0,Success,0,5068,3695,22,1215,50.68
50.0,Success,0,5029,3656,0,1281,50.29
50.0,Fail,0,4895,3771,0,1229,48.949999999999996
50.0,Fail,0,4969,3827,0,1182,49.69
50.0,Fail,0,4989,3687,0,1286,49.89
50.0,Fail,0,4985,3778,0,1220,49.85
50.0,Success,0,5056,3698,0,1227,50.56
50.0,Fail,0,4975,3734,0,1250,49.75
50.0,Success,0,5016,3680,47,1257,50.160000000000004
50.0,Fail,0,4951,3725,0,1252,49.51
50.0,Fail,0,4951,3705,0,1262,49.51
50.0,Fail,0,4939,3678,0,1306,49.39
50.0,Success,0,5013,3686,0,1250,50.129999999999995
50.0,Fail,0,4927,3714,0,1269,49.27
50.0,Success,0,5040,3666,11,1283,50.4
50.0,Fail,0,4926,3777,0,1287,49.26
50.0,Fail,0,4988,3765,0,1217,49.88
50.0,Fail,0,4911,3665,115,1309,49.11
50.0,Success,0,5021,3760,11,1208,50.21
50.0,Success,0,5013,3751,15,1221,50.129999999999995
50.0,Fail,0,4930,3809,0,1197,49.3
50.0,Fail,0,4930,3744,0,1268,49.3
50.0,Success,0,5014,3728,8,1250,50.13999999999999
50.0,Fail,0,4919,3731,100,1250,49.19
50.0,Success,0,5013,3756,0,1226,50.129999999999995
50.0,Fail,0,4988,3719,0,1282,49.88
50.0,Fail,0,4977,3758,31,1234,49.769999999999996
50.0,Fail,0,4982,3724,0,1253,49.82
50.0,Fail,0,4999,3778,26,1197,49.99
50.0,Fail,0,4880,3849,48,1223,48.8
50.0,Fail,0,4963,3754,0,1282,49.63
50.0,Success,0,5064,3680,0,1241,50.63999999999999
50.0,Fail,0,4948,3806,31,1215,49.480000000000004
50.0,Success,0,5019,3681,0,1270,50.19
50.0,Success,0,5014,3696,0,1246,50.13999999999999
50.0,Fail,0,4923,3696,0,1313,49.230000000000004
50.0,Fail,0,4926,3742,0,1241,49.26
50.0,Fail,0,4966,3756,0,1232,49.66
50.0,Fail,0,4917,3645,115,1323,49.17
50.0,Fail,0,4955,3752,23,1270,49.55
50.0,Fail,0,4985,3768,50,1197,49.85
50.0,Success,0,5063,3667,0,1263,50.629999999999995
50.0,Success,0,5032,3745,0,1174,50.32
50.0,Success,0,5081,3653,12,1254,50.81
50.0,Fail,0,4901,3760,0,1215,49.01
50.0,Success,0,5070,3713,3,1214,50.7
50.0,Success,0,5023,3642,0,1218,50.23
50.0,Fail,0,4981,3744,0,1274,49.81
50.0,Fail,0,4982,3708,0,1280,49.82
50.0,Success,0,5038,3709,16,1237,50.38
50.0,Fail,0,4963,3761,0,1247,49.63
50.0,Fail,0,4995,3758,10,1237,49.95
50.0,Success,0,5034,3640,0,1282,50.339999999999996
50.0,Fail,0,4952,3674,0,1282,49.519999999999996
50.0,Fail,0,4945,3736,0,1290,49.45
50.0,Fail,0,4982,3660,0,1301,49.82
50.0,Fail,0,4974,3741,0,1195,49.74
50.0,Fail,0,4961,3693,60,1286,49.61
50.0,Fail,0,4893,3759,35,1313,48.93
50.0,Fail,0,4936,3754,0,1273,49.36
50.0,Fail,0,4982,3758,5,1255,49.82
50.0,Success,0,5009,3719,18,1254,50.09
50.0,Fail,0,4984,3734,10,1272,49.84
50.0,Fail,0,4995,3775,4,1226,49.95
50.0,Fail,0,4984,3741,0,1227,49.84
50.0,Fail,0,4943,3776,28,1253,49.43
50.0,Success,0,5023,3686,34,1257,50.23
50.0,Success,0,5060,3727,0,1197,50.6
50.0,Fail,0,4965,3703,0,1289,49.65
50.0,Fail,0,4957,3790,0,1245,49.57
50.0,Fail,0,4994,3705,0,1267,49.94
50.0,Fail,0,4974,3723,0,1251,49.74
50.0,Fail,0,4895,3767,0,1303,48.949999999999996
50.0,Success,0,5032,3716,0,1226,50.32
50.0,Fail,0,4954,3756,0,1248,49.54
50.0,Fail,0,4945,3742,53,1260,49.45
50.0,Success,0,5013,3728,0,1240,50.129999999999995
50.0,Fail,0,4942,3696,0,1247,49.419999999999995
50.0,Fail,0,4934,3720,0,1272,49.34
50.0,Success,0,5068,3756,2,1174,50.68
50.0,Fail,0,4996,3685,0,1223,49.96
50.0,Fail,0,4873,3843,25,1259,48.730000000000004
50.0,Success,0,5018,3722,0,1236,50.18
50.0,Fail,0,4986,3782,0,1232,49.86
50.0,Fail,0,4966,3773,45,1216,49.66
50.0,Success,0,5034,3620,0,1220,50.339999999999996
50.0,Fail,0,4901,3788,0,1280,49.01
50.0,Fail,0,4994,3749,8,1249,49.94
50.0,Success,0,5006,3706,9,1279,50.06
50.0,Fail,0,4839,3841,70,1250,48.39
50.0,Fail,0,4975,3612,112,1301,49.75
50.0,Fail,0,4938,3805,45,1212,49.38
