Threshold,Mob_Result,Num_Powerful_Actors,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
42.86,Success,2,20,16,0,4,52.38095238095239
42.86,Success,2,22,13,0,1,57.14285714285714
42.86,Success,2,18,15,5,2,47.61904761904761
42.86,Success,2,23,12,2,3,59.523809523809526
42.86,Success,2,20,13,3,4,52.38095238095239
42.86,Success,2,18,14,2,6,47.61904761904761
42.86,Fail,2,13,17,5,5,35.714285714285715
42.86,Success,2,22,15,0,1,57.14285714285714
42.86,Success,2,24,7,5,4,61.904761904761905
42.86,Success,2,22,14,0,4,57.14285714285714
42.86,Success,2,19,13,4,4,50.0
42.86,Fail,2,14,17,4,5,38.095238095238095
42.86,Fail,2,15,16,0,9,40.476190476190474
42.86,Success,2,22,13,4,1,57.14285714285714
42.86,Success,2,25,10,1,4,64.28571428571429
42.86,Fail,2,14,16,4,6,38.095238095238095
42.86,Success,2,20,14,3,3,52.38095238095239
42.86,Fail,2,15,18,2,5,40.476190476190474
42.86,Success,2,22,14,3,1,57.14285714285714
42.86,Success,2,24,10,0,3,61.904761904761905
42.86,Success,2,20,16,1,3,52.38095238095239
42.86,Fail,2,15,16,0,6,40.476190476190474
42.86,Success,2,19,13,4,4,50.0
42.86,Success,2,24,9,3,4,61.904761904761905
42.86,Fail,2,16,16,0,5,42.857142857142854
42.86,Success,2,19,15,0,5,50.0
42.86,Success,2,18,13,2,7,47.61904761904761
42.86,Fail,2,15,14,6,5,40.476190476190474
42.86,Success,2,19,13,1,7,50.0
42.86,Fail,2,16,13,0,9,42.857142857142854
42.86,Fail,2,15,13,6,6,40.476190476190474
42.86,Success,2,17,15,0,7,45.23809523809524
42.86,Success,2,21,13,0,4,54.761904761904766
42.86,Success,2,22,12,2,4,57.14285714285714
42.86,Success,2,19,17,0,4,50.0
42.86,Success,2,19,11,3,7,50.0
42.86,Success,2,17,18,0,4,45.23809523809524
42.86,Success,2,22,15,0,2,57.14285714285714
42.86,Success,2,19,12,0,6,50.0
42.86,Success,2,17,14,0,8,45.23809523809524
42.86,Success,2,19,14,0,7,50.0
42.86,Fail,2,15,19,2,4,40.476190476190474
42.86,Success,2,21,11,1,7,54.761904761904766
42.86,Success,2,20,15,0,3,52.38095238095239
42.86,Success,2,17,18,0,3,45.23809523809524
42.86,Success,2,20,18,0,2,52.38095238095239
42.86,Success,2,18,14,3,5,47.61904761904761
42.86,Success,2,20,13,0,2,52.38095238095239
42.86,Success,2,18,16,0,6,47.61904761904761
42.86,Success,2,25,11,3,1,64.28571428571429
42.86,Success,2,23,16,0,0,59.523809523809526
42.86,Success,2,24,11,0,2,61.904761904761905
42.86,Success,2,19,15,2,4,50.0
42.86,Success,2,18,13,0,5,47.61904761904761
42.86,Success,2,19,14,2,5,50.0
42.86,Success,2,22,8,5,5,57.14285714285714
