Threshold,Mob_Result,Num_Powerful_Actors,Act_Counter,Withdraw_Counter,Power_Exchange_Counter,Act_Against_Counter,Participation_Rate
4.8500000000000005,Success,1,163,126,8,32,40.0
4.8500000000000005,Success,1,174,112,3,40,40.909090909090914
4.8500000000000005,Success,1,145,127,1,56,27.27272727272727
4.8500000000000005,Success,1,163,126,11,29,40.909090909090914
4.8500000000000005,Success,1,161,125,2,41,36.666666666666664
4.8500000000000005,Success,1,173,108,16,32,43.03030303030303
4.8500000000000005,Success,1,149,129,15,36,34.54545454545455
4.8500000000000005,Success,1,153,126,0,49,31.818181818181817
4.8500000000000005,Success,1,167,115,8,39,39.09090909090909
4.8500000000000005,Success,1,145,123,7,54,27.878787878787882
4.8500000000000005,Success,1,159,120,4,46,34.54545454545455
4.8500000000000005,Success,1,168,110,0,46,37.27272727272727
4.8500000000000005,Success,1,168,117,8,36,40.303030303030305
4.8500000000000005,Success,1,151,127,0,47,31.818181818181817
4.8500000000000005,Success,1,166,114,0,44,37.27272727272727
4.8500000000000005,Success,1,174,113,0,38,41.515151515151516
4.8500000000000005,Success,1,163,110,7,49,34.84848484848485
4.8500000000000005,Success,1,159,134,6,30,39.39393939393939
4.8500000000000005,Success,1,157,128,9,35,37.27272727272727
4.8500000000000005,Success,1,158,117,7,47,33.939393939393945
4.8500000000000005,Success,1,178,117,6,28,45.75757575757576
4.8500000000000005,Success,1,170,117,0,39,40.0
4.8500000000000005,Success,1,151,126,0,46,32.121212121212125
4.8500000000000005,Success,1,172,99,0,44,39.09090909090909
4.8500000000000005,Success,1,162,110,11,46,35.45454545454545
4.8500000000000005,Success,1,158,128,0,41,35.75757575757576
4.8500000000000005,Success,1,164,125,0,32,40.303030303030305
4.8500000000000005,Success,1,179,113,0,37,43.333333333333336
4.8500000000000005,Success,1,155,108,21,45,33.63636363636363
4.8500000000000005,Success,1,158,118,14,39,36.36363636363637
4.8500000000000005,Success,1,169,119,7,34,41.21212121212121
4.8500000000000005,Success,1,167,114,7,41,38.484848484848484
4.8500000000000005,Success,1,151,129,11,38,34.54545454545455
4.8500000000000005,Success,1,158,121,0,43,35.15151515151515
4.8500000000000005,Success,1,151,129,0,40,33.939393939393945
4.8500000000000005,Success,1,160,113,6,50,33.63636363636363
4.8500000000000005,Success,1,151,130,5,43,33.03030303030303
4.8500000000000005,Success,1,161,125,0,41,36.666666666666664
4.8500000000000005,Success,1,156,121,7,45,33.939393939393945
4.8500000000000005,Success,1,176,119,7,27,45.45454545454545
4.8500000000000005,Success,1,149,117,14,49,30.606060606060602
4.8500000000000005,Success,1,160,129,5,35,38.18181818181819
4.8500000000000005,Success,1,171,120,2,36,41.21212121212121
4.8500000000000005,Success,1,151,127,4,47,31.818181818181817
4.8500000000000005,Success,1,142,122,0,47,29.09090909090909
4.8500000000000005,Success,1,145,130,5,49,29.393939393939394
4.8500000000000005,Success,1,153,132,0,44,33.33333333333333
4.8500000000000005,Success,1,157,125,11,36,36.96969696969697
4.8500000000000005,Success,1,161,114,15,39,37.27272727272727
4.8500000000000005,Success,1,169,116,8,36,40.60606060606061
4.8500000000000005,Success,1,158,124,0,39,36.36363636363637
4.8500000000000005,Success,1,174,112,0,37,41.81818181818181
4.8500000000000005,Success,1,156,122,3,48,33.03030303030303
4.8500000000000005,Success,1,166,115,2,46,36.666666666666664
4.8500000000000005,Success,1,149,120,15,45,31.818181818181817
4.8500000000000005,Success,1,160,123,0,42,36.06060606060606
4.8500000000000005,Success,1,168,116,2,43,38.18181818181819
4.8500000000000005,Success,1,155,126,0,47,33.03030303030303
4.8500000000000005,Success,1,175,108,0,43,40.303030303030305
4.8500000000000005,Success,1,160,113,0,48,34.24242424242424
4.8500000000000005,Success,1,158,105,24,42,35.45454545454545
4.8500000000000005,Success,1,170,115,0,33,41.81818181818181
4.8500000000000005,Success,1,171,109,3,46,38.18181818181819
4.8500000000000005,Success,1,167,121,3,38,39.39393939393939
4.8500000000000005,Success,1,171,109,0,49,37.27272727272727
4.8500000000000005,Success,1,167,120,2,40,38.78787878787879
4.8500000000000005,Success,1,169,108,13,39,39.696969696969695
4.8500000000000005,Success,1,155,117,10,47,33.03030303030303
4.8500000000000005,Success,1,162,118,11,38,37.878787878787875
4.8500000000000005,Success,1,165,109,8,47,36.06060606060606
4.8500000000000005,Success,1,157,120,11,41,35.45454545454545
4.8500000000000005,Success,1,174,115,3,37,41.81818181818181
4.8500000000000005,Success,1,163,119,5,42,36.96969696969697
4.8500000000000005,Success,1,163,108,9,49,34.84848484848485
4.8500000000000005,Success,1,166,118,13,32,40.909090909090914
4.8500000000000005,Success,1,160,118,15,36,37.878787878787875
4.8500000000000005,Success,1,156,122,0,45,33.939393939393945
4.8500000000000005,Success,1,161,118,7,43,36.06060606060606
4.8500000000000005,Success,1,155,120,0,46,33.33333333333333
4.8500000000000005,Success,1,166,125,0,32,40.909090909090914
4.8500000000000005,Success,1,165,123,5,36,39.39393939393939
4.8500000000000005,Success,1,159,126,8,36,37.57575757575757
4.8500000000000005,Success,1,155,109,0,53,31.212121212121215
4.8500000000000005,Success,1,146,109,29,45,30.909090909090907
4.8500000000000005,Success,1,156,116,0,41,35.15151515151515
4.8500000000000005,Success,1,160,118,8,43,35.75757575757576
4.8500000000000005,Success,1,167,113,10,39,39.09090909090909
4.8500000000000005,Success,1,167,125,6,31,41.515151515151516
4.8500000000000005,Success,1,160,121,0,47,34.54545454545455
4.8500000000000005,Success,1,163,126,4,36,38.78787878787879
4.8500000000000005,Success,1,164,120,7,38,38.484848484848484
4.8500000000000005,Success,1,147,133,0,35,34.24242424242424
4.8500000000000005,Success,1,173,108,10,38,41.21212121212121
4.8500000000000005,Success,1,167,121,6,35,40.303030303030305
4.8500000000000005,Success,1,169,115,4,41,39.09090909090909
4.8500000000000005,Success,1,162,122,6,39,37.57575757575757
4.8500000000000005,Success,1,174,126,0,27,44.84848484848485
4.8500000000000005,Success,1,165,112,0,43,37.27272727272727
4.8500000000000005,Success,1,172,108,0,44,39.09090909090909
4.8500000000000005,Success,1,160,130,4,35,38.18181818181819
12.5,Success,1,9,7,0,2,33.33333333333333
12.5,Success,1,12,8,0,2,45.83333333333333
12.5,Success,1,9,5,5,4,25.0
12.5,Success,1,12,6,0,2,45.83333333333333
12.5,Success,1,11,9,0,3,37.5
12.5,Success,1,15,5,0,2,58.333333333333336
12.5,Success,1,11,6,2,4,33.33333333333333
12.5,Success,1,12,5,0,4,37.5
12.5,Success,1,10,7,0,5,25.0
12.5,Success,1,12,7,0,3,41.66666666666667
12.5,Success,1,12,3,0,7,25.0
12.5,Success,1,12,8,2,1,50.0
12.5,Success,1,15,8,0,0,66.66666666666666
12.5,Success,1,11,9,0,2,41.66666666666667
12.5,Success,1,7,10,0,3,20.833333333333336
12.5,Success,1,9,9,2,3,29.166666666666668
12.5,Success,1,10,4,0,5,25.0
12.5,Success,1,10,11,0,1,41.66666666666667
12.5,Success,1,9,9,0,4,25.0
12.5,Success,1,13,7,1,2,50.0
