Threshold Value,Number Of Mobs Simulated,Mobs Success Rate,Mobs Fail Rate,Average Participation Rate,Overall Mob Result
42.86,100,80.0,20.0,50.21,Success
40.48,100,89.0,11.0,49.81,Success
40.0,100,83.0,17.0,46.15,Success
35.0,100,94.0,6.0,48.45,Success
20.0,100,100.0,0.0,48.6,Success
30.0,100,98.0,2.0,48.85,Success
40.0,100,90.0,10.0,47.7,Success
30.0,100,99.0,1.0,49.15,Success
27.779999999999998,100,94.0,6.0,48.78,Success
33.33,100,98.0,2.0,47.83,Success
35.0,100,94.0,6.0,47.45,Success
35.0,100,94.0,6.0,46.45,Success
40.0,100,81.0,19.0,46.8,Success
0.67,100,100.0,0.0,49.32,Success
32.5,100,99.0,1.0,47.0,Success
50.0,100,50.0,50.0,47.35,Failed
93.33,100,0.0,100.0,48.8,Failed
40.0,100,92.0,8.0,49.2,Success
33.33,100,97.0,3.0,48.0,Success
43.33,100,81.0,19.0,49.57,Success
30.0,100,100.0,0.0,48.4,Success
20.0,100,100.0,0.0,48.73,Success
30.0,100,99.0,1.0,48.53,Success
30.0,100,100.0,0.0,47.17,Success
