Threshold Value,Number Of Mobs Simulated,Mobs Success Rate,Mobs Fail Rate,Average Participation Rate,Overall Mob Result
4.8500000000000005,100,100.0,0.0,49.21,Success
12.5,100,100.0,0.0,50.04,Success
50.0,100,66.0,34.0,49.2,Failed
6.67,100,100.0,0.0,47.7,Success
31.0,100,100.0,0.0,48.94,Success
8.75,100,100.0,0.0,47.72,Success
2.08,100,100.0,0.0,48.17,Success
16.669999999999998,100,100.0,0.0,48.42,Success
50.0,100,100.0,0.0,68.5,Success
6.67,100,100.0,0.0,47.42,Success
20.0,100,100.0,0.0,49.9,Success
16.669999999999998,100,100.0,0.0,48.07,Success
90.0,100,0.0,100.0,48.4,Failed
65.0,100,3.0,97.0,45.9,Failed
100.0,100,0.0,100.0,48.6,Failed
33.33,100,100.0,0.0,49.16,Success
10.0,100,100.0,0.0,49.17,Success
25.0,100,100.0,0.0,47.93,Success
58.67,100,1.0,99.0,48.54,Failed
33.33,100,100.0,0.0,49.29,Success
29.630000000000003,100,97.0,3.0,47.93,Success
38.89,100,76.0,24.0,48.17,Success
3.75,100,100.0,0.0,49.35,Success
2.78,100,100.0,0.0,49.11,Success
3.75,100,100.0,0.0,49.13,Success
17.330000000000002,100,100.0,0.0,49.32,Success
33.33,100,99.0,1.0,48.33,Success
3.3300000000000005,100,100.0,0.0,49.44,Success
15.0,100,100.0,0.0,48.2,Success
17.5,100,100.0,0.0,49.35,Success
35.0,100,93.0,7.0,46.65,Success
40.0,100,95.0,5.0,48.25,Success
6.4,100,100.0,0.0,48.64,Success
5.0,100,100.0,0.0,49.03,Success
2.08,100,100.0,0.0,48.59,Success
4.0,100,100.0,0.0,48.59,Success
0.69,100,100.0,0.0,48.51,Success
45.83,100,61.0,39.0,47.29,Success
42.309999999999995,100,75.0,25.0,49.62,Success
13.33,100,100.0,0.0,47.76,Success
6.67,100,100.0,0.0,48.49,Success
75.0,100,13.0,87.0,49.12,Failed
150.0,100,0.0,100.0,68.5,Failed
100.0,100,44.0,56.0,72.0,Failed
23.330000000000002,100,100.0,0.0,48.0,Success
2.67,100,100.0,0.0,49.04,Success
21.33,100,100.0,0.0,47.84,Success
1.67,100,100.0,0.0,48.32,Success
15.0,100,100.0,0.0,48.15,Success
18.33,100,100.0,0.0,48.17,Success
7.5,100,100.0,0.0,47.92,Success
18.33,100,100.0,0.0,47.92,Success
70.0,100,1.0,99.0,49.15,Failed
20.0,100,100.0,0.0,48.4,Success
35.0,100,96.0,4.0,48.75,Success
21.67,100,100.0,0.0,47.22,Success
21.67,100,100.0,0.0,47.68,Success
0.22,100,100.0,0.0,48.82,Success
13.889999999999999,100,100.0,0.0,49.39,Success
20.0,100,100.0,0.0,48.48,Success
20.0,100,100.0,0.0,48.03,Success
3.3300000000000005,100,100.0,0.0,48.67,Success
20.0,100,100.0,0.0,48.18,Success
1.67,100,100.0,0.0,48.27,Success
27.500000000000004,100,100.0,0.0,47.9,Success
1.67,100,100.0,0.0,48.3,Success
23.330000000000002,100,100.0,0.0,48.67,Success
23.330000000000002,100,100.0,0.0,48.32,Success
1.67,100,100.0,0.0,50.27,Success
12.22,100,100.0,0.0,49.57,Success
5.0,100,100.0,0.0,48.9,Success
11.67,100,100.0,0.0,48.27,Success
13.33,100,100.0,0.0,48.92,Success
23.330000000000002,100,100.0,0.0,47.55,Success
21.67,100,100.0,0.0,49.2,Success
88.57000000000001,100,0.0,100.0,47.23,Failed
100.0,100,0.0,100.0,47.2,Failed
100.0,100,0.0,100.0,49.69,Failed
25.0,100,100.0,0.0,48.52,Success
50.0,100,49.0,51.0,48.04,Failed
26.669999999999998,100,100.0,0.0,49.68,Success
13.33,100,100.0,0.0,47.96,Success
33.33,100,100.0,0.0,48.45,Success
21.67,100,100.0,0.0,49.12,Success
45.0,100,73.0,27.0,48.1,Success
5.0,100,100.0,0.0,49.08,Success
18.33,100,100.0,0.0,48.38,Success
1.67,100,100.0,0.0,47.85,Success
26.669999999999998,100,100.0,0.0,48.37,Success
23.330000000000002,100,100.0,0.0,48.85,Success
21.67,100,100.0,0.0,47.63,Success
93.33,100,0.0,100.0,49.6,Failed
90.0,100,0.0,100.0,45.95,Failed
13.33,100,100.0,0.0,48.82,Success
1.67,100,100.0,0.0,48.4,Success
25.0,100,100.0,0.0,48.97,Success
95.0,100,0.0,100.0,50.35,Failed
21.67,100,100.0,0.0,48.8,Success
72.72999999999999,100,0.0,100.0,47.95,Failed
20.0,100,100.0,0.0,48.13,Success
4.0,100,100.0,0.0,48.62,Success
26.669999999999998,100,100.0,0.0,47.72,Success
17.78,100,100.0,0.0,47.78,Success
15.559999999999999,100,100.0,0.0,47.73,Success
6.67,100,100.0,0.0,48.67,Success
95.0,100,0.0,100.0,47.2,Failed
26.669999999999998,100,100.0,0.0,49.48,Success
31.669999999999998,100,100.0,0.0,49.43,Success
33.33,100,100.0,0.0,49.98,Success
1.67,100,100.0,0.0,47.62,Success
0.69,100,100.0,0.0,48.08,Success
5.56,100,100.0,0.0,48.64,Success
3.3300000000000005,100,100.0,0.0,48.87,Success
1.67,100,100.0,0.0,48.42,Success
1.67,100,100.0,0.0,47.7,Success
33.33,100,100.0,0.0,48.82,Success
1.67,100,100.0,0.0,49.2,Success
11.899999999999999,100,100.0,0.0,48.62,Success
1.67,100,100.0,0.0,47.4,Success
3.3300000000000005,100,100.0,0.0,49.55,Success
3.3300000000000005,100,100.0,0.0,49.45,Success
0.33,100,100.0,0.0,49.1,Success
0.83,100,100.0,0.0,49.03,Success
3.3300000000000005,100,100.0,0.0,49.03,Success
0.16999999999999998,100,100.0,0.0,49.02,Success
28.33,100,100.0,0.0,46.97,Success
65.0,100,12.0,88.0,52.5,Failed
13.33,100,100.0,0.0,48.63,Success
70.0,100,6.0,94.0,50.05,Failed
18.33,100,100.0,0.0,48.25,Success
21.67,100,100.0,0.0,48.87,Success
10.83,100,100.0,0.0,48.84,Success
40.0,100,88.0,12.0,49.5,Success
0.69,100,100.0,0.0,47.74,Success
21.67,100,100.0,0.0,49.87,Success
25.0,100,100.0,0.0,49.82,Success
33.33,100,100.0,0.0,48.1,Success
33.33,100,100.0,0.0,48.53,Success
5.33,100,100.0,0.0,49.08,Success
100.0,100,0.0,100.0,52.2,Failed
16.669999999999998,100,100.0,0.0,47.8,Success
33.33,100,99.0,1.0,47.37,Success
25.0,100,98.0,2.0,50.38,Success
25.0,100,100.0,0.0,50.08,Success
25.0,100,100.0,0.0,48.13,Success
33.33,100,100.0,0.0,49.18,Success
26.669999999999998,100,100.0,0.0,48.2,Success
26.669999999999998,100,91.0,9.0,48.27,Success
16.669999999999998,100,100.0,0.0,49.02,Success
45.0,100,83.0,17.0,50.2,Success
33.33,100,99.0,1.0,49.47,Success
33.33,100,100.0,0.0,49.73,Success
25.0,100,99.0,1.0,49.33,Success
33.33,100,98.0,2.0,50.6,Success
42.86,100,43.0,57.0,49.29,Success
6.67,100,100.0,0.0,47.58,Success
50.0,100,33.0,67.0,46.38,Failed
50.0,100,62.0,38.0,50.45,Success
8.33,100,100.0,0.0,47.5,Success
50.0,100,57.0,43.0,50.15,Success
50.0,100,61.0,39.0,50.32,Success
1.67,100,100.0,0.0,48.88,Success
50.0,100,49.0,51.0,48.87,Failed
50.0,100,38.0,62.0,46.95,Failed
50.0,100,59.0,41.0,50.93,Success
50.0,100,56.0,44.0,49.75,Failed
5.83,100,100.0,0.0,49.52,Success
26.669999999999998,100,92.0,8.0,48.33,Success
40.0,100,83.0,17.0,47.93,Success
10.0,100,100.0,0.0,49.0,Success
16.669999999999998,100,99.0,1.0,49.67,Success
3.3300000000000005,100,100.0,0.0,49.43,Success
