eventId,numInvited,numEventOrganizers,ParticipationRate,eventOutcomeModel2
10261524,330,1,0.0485,0
10293116,24,1,0.1250,0
10293666,10,1,0.5000,0
10647999,60,1,0.0667,1
10706194,100,1,0.3100,1
11791098,80,1,0.0875,0
12699530,96,1,0.0208,0
15294976,24,1,0.1667,1
15955406,2,1,0.5000,0
16086043,90,1,0.0667,0
16086086,10,1,0.2000,0
19344901,30,1,0.1667,1
60848002,20,1,0.9000,1
60848292,20,1,0.6500,0
60848572,10,1,1.0000,1
85403282,900,1,0.3333,1
88017132,120,1,0.1000,1
89974982,60,2,0.2500,1
95114482,150,1,0.5867,1
104741622,192,1,0.3333,1
107085962,27,1,0.2963,1
108097372,18,1,0.3889,1
113010422,240,1,0.0375,1
116237542,360,1,0.0278,1
116378002,80,1,0.0375,1
126553912,75,1,0.1733,1
130868242,30,1,0.3333,1
133611782,90,2,0.0333,1
137256832,40,1,0.1500,1
142525172,40,1,0.1750,0
149260752,20,1,0.3500,0
169573202,40,1,0.4000,1
194790062,125,1,0.0640,1
201090572,120,1,0.0500,1
201793592,96,1,0.0208,0
216058382,100,1,0.0400,1
220268926,144,1,0.0069,0
221318131,24,1,0.4583,0
221674860,26,1,0.4231,1
221885540,90,1,0.1333,0
222392450,90,1,0.0667,1
222458845,8,1,0.7500,1
223075459,2,1,1.5000,0
223615041,2,1,1.0000,0
227622400,30,1,0.2333,0
227939320,75,1,0.0267,1
228040426,75,1,0.2133,1
228040644,60,1,0.0167,0
228841419,60,1,0.1500,1
229432719,60,1,0.1833,1
229989626,80,1,0.0750,0
230219137,60,1,0.1833,1
230219139,20,1,0.7000,1
230219141,60,1,0.2000,1
230219145,40,1,0.3500,1
230219147,60,1,0.2167,1
230219152,60,1,0.2167,1
230885283,450,1,0.0022,0
232539771,36,1,0.1389,0
234251078,60,1,0.2000,1
234544776,60,1,0.2000,1
235703420,60,2,0.0333,0
235815316,60,1,0.2000,1
235815361,60,1,0.0167,0
236154962,40,1,0.2750,1
236279781,60,1,0.0167,0
236306887,60,2,0.2333,1
236306920,60,1,0.2333,1
236306942,60,1,0.0167,0
236642693,90,1,0.1222,1
236673962,20,1,0.0500,0
237753048,60,1,0.1167,1
237753256,60,1,0.1333,1
238373857,60,1,0.2333,1
238374121,60,1,0.2167,1
238490398,35,1,0.8857,1
238490475,15,1,1.0000,0
238490681,16,1,1.0000,0
238726696,60,1,0.2500,1
239325061,24,1,0.5000,1
239404201,60,1,0.2667,1
239447051,45,1,0.1333,1
239746341,60,1,0.3333,1
240025136,60,1,0.2167,1
240025176,40,1,0.4500,1
240611558,60,1,0.0500,1
240813013,60,1,0.1833,1
240813090,60,1,0.0167,0
240834003,60,1,0.2667,1
240834010,60,1,0.2333,1
240834023,60,1,0.2167,1
240939134,15,1,0.9333,0
241735874,20,1,0.9000,1
241736058,60,1,0.1333,1
241736413,60,1,0.0167,0
241736522,60,1,0.2500,1
241736528,20,1,0.9500,1
241736536,60,1,0.2167,1
242161664,22,1,0.7273,1
243101902,30,1,0.2000,1
243279522,100,1,0.0400,1
243730302,60,1,0.2667,0
244314711,45,1,0.1778,1
244314740,45,1,0.1556,1
244342891,30,1,0.0667,0
245044976,20,1,0.9500,1
245536972,60,1,0.2667,1
245536975,60,2,0.3167,1
245777083,60,2,0.3333,1
245777104,60,1,0.0167,0
246147466,144,1,0.0069,0
246211052,180,1,0.0556,1
246446420,60,1,0.0333,0
246597520,60,1,0.0167,0
246597545,60,1,0.0167,0
246736601,60,2,0.3333,1
247230930,60,1,0.0167,0
247455638,42,1,0.1190,0
247664764,60,1,0.0167,0
247665052,60,2,0.0333,0
247665069,60,2,0.0333,0
247739578,300,1,0.0033,0
247764431,120,1,0.0083,0
248113763,60,2,0.0333,0
248835161,600,1,0.0017,1
249108475,60,1,0.2833,1
249108620,20,2,0.6500,1
249108657,60,2,0.1333,1
249108665,20,2,0.7000,1
249108674,60,2,0.1833,1
249108679,60,1,0.2167,1
249562688,120,1,0.1083,0
249805997,20,1,0.4000,1
250584781,144,1,0.0069,0
251631087,60,2,0.2167,1
251631126,60,2,0.2500,1
251631176,60,1,0.3333,1
251631249,60,1,0.3333,1
253337129,300,1,0.0533,1
